Direction,TraceSource,SNR_dB,QualityAxis,QualityValueRole,QualitySource,Metric,MeanValue,P05Value,P95Value,SampleCount,BeamManagementProcedure,SignalSourceFamily
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",35.2745141842426,35.2745141842426,35.2745141842426,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",35.2745141842426,35.2745141842426,35.2745141842426,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",10,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CRI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",2,2,2,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",1,1,1,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",8,8,8,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",33.1737973344954,33.1737973344954,33.1737973344954,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",33.1737973344954,33.1737973344954,33.1737973344954,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","PMI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","dl_pdsch_trials",11,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","CRI",0,0,0,1,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamIndex",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamIndex",15,14.1,15.9,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamHit",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","TopKBeamHit",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamCandidateCount",64,64,64,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","SelectedBeamGain_dB",-0.382382905714306,-3.76608422342784,3.00131841199922,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BestBeamGain_dB",3.01917319280851,-0.835432892675145,6.87377927829216,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"UL","ul_pusch_trials",5,"PostEqSINR_dB","measured_post_equalization_scheduling_input","PostEqSINR_dB","BeamGainGap_dB",3.40155609852281,2.93065133075269,3.87246086629294,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_GRANT"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2SelectedBeamIndex",2.16666666666667,1,6.25,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BestBeamIndex",2.83333333333333,1.25,6.5,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamHitRate",0.333333333333333,0,1,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2TopKBeamHitRate",0.666666666666667,0,1,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamCandidateCount",8,8,8,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2SelectedBeamGain_dB",33.8856710155628,32.2116632044888,36.2462631927675,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BestBeamGain_dB",33.8856710155628,32.2116632044888,36.2462631927675,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamGainGap_dB",0,0,0,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamformingAppliedRate",1,1,1,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingActiveRate",1,1,1,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumLayers",2,2,2,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"DL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumPorts",64,64,64,6,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2SelectedBeamIndex",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BestBeamIndex",15,14.1,15.9,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamHitRate",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2TopKBeamHitRate",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamCandidateCount",64,64,64,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2SelectedBeamGain_dB",-0.382382905714305,-3.76608422342784,3.00131841199923,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BestBeamGain_dB",3.01917319280851,-0.83543289267515,6.87377927829216,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamGainGap_dB",3.40155609852282,2.93065133075269,3.87246086629294,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2BeamformingAppliedRate",1,1,1,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingActiveRate",0,0,0,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
"UL","beamforming/csv/probe_beam_mimo.csv",20,"SNR_dB","measured_runtime_beam_refinement","SNR_dB","P2PrecodingNumLayers",2,2,2,2,"P2_runtime_beam_refinement","PDSCH_PUSCH_PROBE"
