Direction,ResponseType,TapIndex,TapDelay_s,PathDelay_s,TapPower_dB,PathPower_dB,TapLinearPower,NormalizedTapPower,DelaySpread_s,ChannelModel,DelayProfile,ChannelObjectClass,NormalizePathGains,ChannelFilterDelay_samples,MaximumChannelDelay_samples,SampleRate_Hz,Status,Source
"DL","model_average_power_delay_profile",11,8.213e-08,8.213e-08,-10.7,-10.7,0.0851138038202377,0.0144886770224472,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",12,9.336e-08,9.336e-08,-11.1,-11.1,0.0776247116628692,0.0132138304923988,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",13,1.2285e-07,1.2285e-07,-5.1,-5.1,0.309029543251359,0.052605206695024,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",14,1.3083e-07,1.3083e-07,-6.8,-6.8,0.208929613085404,0.035565484663482,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",15,2.1704e-07,2.1704e-07,-8.7,-8.7,0.134896288259165,0.0229630055806443,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",16,2.7105e-07,2.7105e-07,-13.2,-13.2,0.0478630092322639,0.00814758183705793,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",17,4.2589e-07,4.2589e-07,-13.9,-13.9,0.0407380277804113,0.00693471682088679,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",18,4.6003e-07,4.6003e-07,-13.9,-13.9,0.0407380277804113,0.00693471682088679,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",19,5.4902e-07,5.4902e-07,-15.8,-15.8,0.0263026799189538,0.00447742924256332,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",20,5.6077e-07,5.6077e-07,-17.1,-17.1,0.0194984459975804,0.0033191641522124,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",21,6.3065e-07,6.3065e-07,-16,-16,0.0251188643150958,0.00427591173108355,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",22,6.6374e-07,6.6374e-07,-15.7,-15.7,0.0269153480392692,0.00458172196734797,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",23,7.0427e-07,7.0427e-07,-21.6,-21.6,0.00691830970918936,0.00117768388226907,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"DL","model_average_power_delay_profile",24,8.6523e-07,8.6523e-07,-22.8,-22.8,0.00524807460249772,0.000893364583562625,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",1,0,0,-4.4,-4.4,0.363078054770101,0.0618057287230722,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",2,2.099e-08,2.099e-08,-1.2,-1.2,0.758577575029184,0.129130469885729,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",3,2.219e-08,2.219e-08,-3.5,-3.5,0.446683592150963,0.0760376579052976,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",4,2.329e-08,2.329e-08,-5.2,-5.2,0.301995172040202,0.0514077659984512,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",5,2.176e-08,2.176e-08,-2.5,-2.5,0.562341325190349,0.0957257397902908,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",6,6.366e-08,6.366e-08,0,0,1,0.170227112079818,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",7,6.448e-08,6.448e-08,-2.2,-2.2,0.602559586074358,0.102571978193448,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",8,6.56e-08,6.56e-08,-3.9,-3.9,0.407380277804113,0.069347168208868,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",9,6.584e-08,6.584e-08,-7.4,-7.4,0.181970085860998,0.0309762422010342,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",10,7.935e-08,7.935e-08,-7.1,-7.1,0.194984459975805,0.033191641522124,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",11,8.213e-08,8.213e-08,-10.7,-10.7,0.0851138038202377,0.0144886770224472,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",12,9.336e-08,9.336e-08,-11.1,-11.1,0.0776247116628692,0.0132138304923988,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",13,1.2285e-07,1.2285e-07,-5.1,-5.1,0.309029543251359,0.052605206695024,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",14,1.3083e-07,1.3083e-07,-6.8,-6.8,0.208929613085404,0.035565484663482,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",15,2.1704e-07,2.1704e-07,-8.7,-8.7,0.134896288259165,0.0229630055806443,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",16,2.7105e-07,2.7105e-07,-13.2,-13.2,0.0478630092322639,0.00814758183705793,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",17,4.2589e-07,4.2589e-07,-13.9,-13.9,0.0407380277804113,0.00693471682088679,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",18,4.6003e-07,4.6003e-07,-13.9,-13.9,0.0407380277804113,0.00693471682088679,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",19,5.4902e-07,5.4902e-07,-15.8,-15.8,0.0263026799189538,0.00447742924256332,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",20,5.6077e-07,5.6077e-07,-17.1,-17.1,0.0194984459975804,0.0033191641522124,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",21,6.3065e-07,6.3065e-07,-16,-16,0.0251188643150958,0.00427591173108355,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",22,6.6374e-07,6.6374e-07,-15.7,-15.7,0.0269153480392692,0.00458172196734797,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",23,7.0427e-07,7.0427e-07,-21.6,-21.6,0.00691830970918936,0.00117768388226907,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
"UL","model_average_power_delay_profile",24,8.6523e-07,8.6523e-07,-22.8,-22.8,0.00524807460249772,0.000893364583562625,1e-07,"cdl","CDL-C","nrCDLChannel",1,7,114,122880000,"available","sixgr.channel.ChannelFactory.info.PathDelays.AveragePathGains"
