Mapping,Index,ExpectedLower,ExpectedUpper,ActualLower,ActualUpper,BoundaryMismatchCount,Status
PCMAX,7,-23,-22,-23,-22,0,PASS
PCMAX,8,-22,-21,-22,-21,0,PASS
PCMAX,9,-21,-20,-21,-20,0,PASS
PCMAX,10,-20,-19,-20,-19,0,PASS
PCMAX,11,-19,-18,-19,-18,0,PASS
PCMAX,12,-18,-17,-18,-17,0,PASS
PCMAX,13,-17,-16,-17,-16,0,PASS
PCMAX,14,-16,-15,-16,-15,0,PASS
PCMAX,15,-15,-14,-15,-14,0,PASS
PCMAX,16,-14,-13,-14,-13,0,PASS
PCMAX,17,-13,-12,-13,-12,0,PASS
PCMAX,18,-12,-11,-12,-11,0,PASS
PCMAX,19,-11,-10,-11,-10,0,PASS
PCMAX,20,-10,-9,-10,-9,0,PASS
PCMAX,21,-9,-8,-9,-8,0,PASS
PCMAX,22,-8,-7,-8,-7,0,PASS
PCMAX,23,-7,-6,-7,-6,0,PASS
PCMAX,24,-6,-5,-6,-5,0,PASS
PCMAX,25,-5,-4,-5,-4,0,PASS
PCMAX,26,-4,-3,-4,-3,0,PASS
PCMAX,27,-3,-2,-3,-2,0,PASS
PCMAX,28,-2,-1,-2,-1,0,PASS
PCMAX,29,-1,0,-1,0,0,PASS
PCMAX,30,0,1,0,1,0,PASS
PCMAX,31,1,2,1,2,0,PASS
PCMAX,32,2,3,2,3,0,PASS
PCMAX,33,3,4,3,4,0,PASS
PCMAX,34,4,5,4,5,0,PASS
PCMAX,35,5,6,5,6,0,PASS
PCMAX,36,6,7,6,7,0,PASS
PCMAX,37,7,8,7,8,0,PASS
PCMAX,38,8,9,8,9,0,PASS
PCMAX,39,9,10,9,10,0,PASS
PCMAX,40,10,11,10,11,0,PASS
PCMAX,41,11,12,11,12,0,PASS
PCMAX,42,12,13,12,13,0,PASS
PCMAX,43,13,14,13,14,0,PASS
PCMAX,44,14,15,14,15,0,PASS
PCMAX,45,15,16,15,16,0,PASS
PCMAX,46,16,17,16,17,0,PASS
PCMAX,47,17,18,17,18,0,PASS
PCMAX,48,18,19,18,19,0,PASS
PCMAX,49,19,20,19,20,0,PASS
PCMAX,50,20,21,20,21,0,PASS
PCMAX,51,21,22,21,22,0,PASS
PCMAX,52,22,23,22,23,0,PASS
PCMAX,53,23,24,23,24,0,PASS
PCMAX,54,24,25,24,25,0,PASS
PCMAX,55,25,26,25,26,0,PASS
PCMAX,56,26,27,26,27,0,PASS
PCMAX,57,27,28,27,28,0,PASS
PCMAX,58,28,29,28,29,0,PASS
PCMAX,59,29,30,29,30,0,PASS
PCMAX,60,30,31,30,31,0,PASS
PCMAX,61,31,32,31,32,0,PASS
PCMAX,62,32,33,32,33,0,PASS
PCMAX,63,33,,33,Inf,0,PASS
