RunID,EventSequence,UEID,ServingCell,RRCState,ActiveDLBWP,ActiveULBWP,DRXState,TimeAligned,ConfigurationEpoch,ProjectionSHA256,Status
MAC_PHASE08_R18_20260727033902,16,8,1,CONNECTED,0,0,AWAKE,false,1,03866108a45dd770fa28387f7f2d89e24450d0de271a3a39f6c4b48c033f95f0,PASS
MAC_PHASE08_R18_20260727033902,17,1,0,CONNECTED,0,0,AWAKE,false,1,06bad2e4ac8a705103fa55573910e6ff9d15b5aea7f816155e6bd305d305a0eb,PASS
MAC_PHASE08_R18_20260727033902,18,2,1,CONNECTED,0,0,AWAKE,true,1,0247fd31c93aba4ab1452b1f695f09ecb585c2e4af63a1f73343b9e320a3442c,PASS
MAC_PHASE08_R18_20260727033902,19,3,0,CONNECTED,0,0,AWAKE,false,1,e629888d260cd8217ab5a2f42cd984ee6574ce8b4d4573df32fc73cd1cff08c2,PASS
MAC_PHASE08_R18_20260727033902,20,4,1,CONNECTED,0,0,AWAKE,true,1,0fc1d5cbe5dc1799329b1a7939ff8d40636abbc40b767c08172466f54e550a4d,PASS
MAC_PHASE08_R18_20260727033902,21,5,0,CONNECTED,1,0,AWAKE,true,1,43a18ea3afb32a4a2fa00838801825d0a88b5ccc474ac4bc85e2d127a1440861,PASS
MAC_PHASE08_R18_20260727033902,22,6,1,CONNECTED,0,0,AWAKE,false,1,c4bc11968e3cebc9da0a16afe786d2166555b21968074a42c57f155f30c3927a,PASS
MAC_PHASE08_R18_20260727033902,23,7,0,CONNECTED,1,0,AWAKE,true,1,acc1c46755cf237944c301e353c09a161159d466a6d85b81c97dcc82b854fa81,PASS
MAC_PHASE08_R18_20260727033902,24,8,1,CONNECTED,0,0,AWAKE,false,1,b1657b75ae3c163aafdc9a81d48bceee9a658b07f2ebcd9cdfafbbfaf80f1f3e,PASS
MAC_PHASE08_R18_20260727033902,25,1,0,CONNECTED,0,0,AWAKE,true,1,b0f5797d073835040b7a8553e3aa489d7df0356d5db20a2595a570250009107e,PASS
MAC_PHASE08_R18_20260727033902,26,2,1,CONNECTED,0,0,AWAKE,true,1,546e93ec126633fd1d60be43808a0b29dd10950567581b7bd1c7c5dd39db8aba,PASS
MAC_PHASE08_R18_20260727033902,27,3,0,CONNECTED,0,0,AWAKE,false,1,a4d7669a2636c1f5d05f48f5820798653918c2b9a8a877161e31cff772af5ef2,PASS
MAC_PHASE08_R18_20260727033902,28,4,1,CONNECTED,0,0,AWAKE,true,1,0fc1d5cbe5dc1799329b1a7939ff8d40636abbc40b767c08172466f54e550a4d,PASS
MAC_PHASE08_R18_20260727033902,29,5,0,CONNECTED,1,0,AWAKE,true,1,f99df58553b04c64aa4bfd3da4b8d864708037c133cb0f72fdbcaf4870905bee,PASS
MAC_PHASE08_R18_20260727033902,30,6,1,CONNECTED,0,0,AWAKE,true,1,b7a04820526e7321444e8d582d9c66451e1dcd88b39ad7e14a2c5da097b01608,PASS
MAC_PHASE08_R18_20260727033902,31,7,0,CONNECTED,1,0,AWAKE,true,1,3c8d6114ff9acbbebe4b9174470d13369f0223b74f183e2aa5bd0a0ab8648764,PASS
MAC_PHASE08_R18_20260727033902,32,8,1,CONNECTED,0,0,AWAKE,false,1,09ae34866480c9f52182f4ccd6ddcdf811f6dc1938c4dd5f5f286a45d5536f13,PASS
MAC_PHASE08_R18_20260727033902,33,1,0,CONNECTED,0,0,AWAKE,true,1,11389564ce5442bb95cec2756cbb2aa0c98e2c8a807bff16e69aef7232c2351f,PASS
MAC_PHASE08_R18_20260727033902,34,2,1,CONNECTED,0,0,AWAKE,true,1,69016ad3ec3cc154b3722bddb16bcb34bbf9185874681c266318a540db0082b2,PASS
MAC_PHASE08_R18_20260727033902,35,3,0,CONNECTED,0,0,AWAKE,true,1,16099420a5535c32088d8358d132c64a930c647ddeeb719cab1dba5d2c5da950,PASS
MAC_PHASE08_R18_20260727033902,36,4,1,CONNECTED,0,0,AWAKE,true,1,6781953c49f08b2c191829f250248e47ba971d2ac4132c7227b712de8912bc6d,PASS
MAC_PHASE08_R18_20260727033902,37,5,0,CONNECTED,1,0,AWAKE,true,1,ff3d42d24422873caa1f8b19f4b35a6f05d6ec4ed48d71267874ca9b928416f8,PASS
MAC_PHASE08_R18_20260727033902,38,6,1,CONNECTED,0,0,AWAKE,true,1,9ef0c7916c9c09e91bfa89454ee3a3492c25b8802d2d0010f0fb5d951d0bcb20,PASS
MAC_PHASE08_R18_20260727033902,39,7,0,CONNECTED,1,0,AWAKE,true,1,18da0202c0ce3189b0b2e8407b412b7661deac6a2e019358761573fcd683a4e5,PASS
MAC_PHASE08_R18_20260727033902,40,8,1,CONNECTED,0,0,AWAKE,true,1,8f914bcdd501bc420c5be0c453c641b638b9cfb6a3ac76ab3c5b0645b52c47de,PASS
