Case,SignalPresent,InputFile,InputSHA256,PreviousThreshold,ConfiguredThreshold,DetectionThresholdSource,MetricDomain,DetectionMetric,ToolboxDetectionMetric,PreviousDetected,ConfiguredDetected,ConfiguredDTX,Source
NO_SIGNAL_9,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_9.mat,611cf379fc84a6928b2244fc9d509982fae09de637cb01449eee29c79fa6eb18,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.289692562691138,0.289692562691138,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_10,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_10.mat,2c2b306c56bf91b74879cf12bebb94845097967a2b1b1a8ee9d9f127bcf6e807,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.298650243050343,0.298650243050343,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_11,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_11.mat,c7758c56fec84301c0e62a7765cf18751aa0c50d4b5e270072a3d545881e4f63,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.301351820486762,0.301351820486762,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_12,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_12.mat,1b463a882c6f08a4789b01dbff5eaf339dd72316d4ee8987e4dac606854554bb,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.381513561574227,0.381513561574227,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_13,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_13.mat,51487f4fed4021e06240d125fb006fd967b44dc125d5d8b5328f30038615264e,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.273785721176429,0.273785721176429,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_14,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_14.mat,7d2607d338de90d762b429a78597e4446bf75e8707346fa479d1033c71f0d554,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.410179075467148,0.410179075467148,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_15,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_15.mat,f9c0bcecd63a14daaeabeeb586c7e5e06cd35e9b98f5d8f7e8febfcfc5941bc1,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.232729828811133,0.232729828811133,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_16,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_16.mat,1e69022c91db55be2362a2acb2f375844942ff845b5e60325b1802d7f0b5dc56,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.419817753880121,0.419817753880121,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_17,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_17.mat,4235f3bac16821edc06a2336d179a9d3f6ad47d41917162f2327b092afba5487,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.246707059533557,0.246707059533557,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_18,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_18.mat,95252339db67dfff99d62be99a93cdfd6d9295fb78976754d152bae5aa108090,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.277925285296799,0.277925285296799,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_19,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_19.mat,356d69d15571bf61a0256ad3a45125545663d0a64b5193ee006e2e4b58697e10,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.318692273427885,0.318692273427885,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_20,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_20.mat,af47196f9e04583d47f503a29ada4aee6b2a5a621af21870a093976a76156235,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.38312635925817,0.38312635925817,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_21,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_21.mat,9b2b8756bbdedc9034d1b5235397d834c7061d4a0a51c854fc623adeaafd0ffa,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.275641983280986,0.275641983280986,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_22,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_22.mat,5d4fdf6cb92cb7a767be6112b2d4d2a9258baa36e95d68478851dc04b0d82e60,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.328766818313235,0.328766818313235,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_23,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_23.mat,3b860f096322e323c18a4888b4599bd37e2924a1e6d84bd2ee3cc9959dbfeccc,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.229434191370745,0.229434191370745,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_24,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_24.mat,80f4c3f1a3871366646f688fb3d7e9a0961e312045b39288c3110784c5730f82,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.408314028604796,0.408314028604796,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_25,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_25.mat,5bff4e316ec296c15921766da82c3949b67e06786e0aaaaefc523378d17c60dd,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.198510952347268,0.198510952347268,0,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_26,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_26.mat,c080311f7fb445216e1d2a1487a314e4e5869747af0e3fb619702d40bf779f39,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.406314331212252,0.406314331212252,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_27,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_27.mat,cd4d6cdabe0e43187a02f36ee28c5c207e4d878e6762e7420304bde3816ddbae,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.378571590029581,0.378571590029581,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_28,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_28.mat,76126b53ddea713fe2953b8edcb12f417c1deef2435199a44b9e4df041413fe4,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.186872408270867,0.186872408270867,0,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_29,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_29.mat,c5a8475a67116cdb287b547710714a301237d03eaffaf8232cf45ecebad65485,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.247542253521332,0.247542253521332,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_30,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_30.mat,4d0c2abbd5c2c4c7bc6c65c3d0e1a07783ea2fa298742fd73fd06ec81d0f7b24,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.350882744250083,0.350882744250083,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_31,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_31.mat,7bb77a6d2e964f48798f1300e33060f840fb6299001b562ff5d9d8462231aa55,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.163726263900615,0.163726263900615,0,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_32,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_32.mat,0615c23c543f3494ee2c821f6ed39f23e556866e54312584db973014d42b3b07,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.362957282091182,0.362957282091182,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_33,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_33.mat,a15cde7ea54591fdceaa4017c2caa21752c4e5026ef3ecc1b36474947289f80d,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.276138838485787,0.276138838485787,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_34,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_34.mat,9668839b0c8b8ff9374dac0442843558adbe1d037a4dfe665af75fa42dcd61d7,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.313184209687654,0.313184209687654,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_35,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_35.mat,1e6aa17e20480eff01d076aa56828e1623568faf56c3b74bd20947d344c0ccf5,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.310463429995146,0.310463429995146,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_36,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_36.mat,24f1f1509a386e8b4c6b035db560b7d3377d32eddc1e9fd6a81cc6563a99b357,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.333357367317501,0.333357367317501,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_37,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_37.mat,22a23dd1c76ff9e12d7098cc9a6a3af0657e6338ffb607552c7ae66df51b77dd,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.359932428982235,0.359932428982235,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_38,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_38.mat,caca58c70c16566ec3d697959b129f354a45e0a30611378d0ff0ae6f5c71f818,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.260072328476233,0.260072328476233,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_39,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_39.mat,6927b3a71d4e4e7e5a60599f728810b73cbe9a40f7b27222655a69296af6b8da,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.389518725182931,0.389518725182931,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_40,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_40.mat,17cddc04bad0018ad7c425535cd03be6071e822a3add165a8855509e7fab526a,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.419755882782972,0.419755882782972,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_41,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_41.mat,1181a094377d85aaf62908af227a88f8b7ad8b5400c5a08cf3005daac9808646,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.396663229047682,0.396663229047682,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_42,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_42.mat,cc3aec867bfbf127858859a16b1c776565d01fb1d860d0b8fdc7186c4b558238,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.349718771704984,0.349718771704984,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_43,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_43.mat,ac8951d422fb25662479f37134322a863edfc09367db21010de1522ff6f442de,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.299526938950354,0.299526938950354,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_44,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_44.mat,00d2c2c7bc7899ab19d6fedfb37a3a79dbb140b5dcbbcf01ecd68123360acdc2,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.265062110296073,0.265062110296073,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_45,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_45.mat,cbc5798904e968c0c90a887befc8a932b714b3ee7ea91af92bc8c5c02a968d38,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.274822433785741,0.274822433785741,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_46,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_46.mat,47777764e3ea1352587fd3ed1894e7b94bc4f9ac42ed87a2eaf8fa2e502e55c1,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.373621373714202,0.373621373714202,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_47,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_47.mat,d59da117a3f31fa5338450b2b9546af93a573c75c6299ba5d125c39dc8ec65e7,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.225356345880359,0.225356345880359,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_48,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_48.mat,f7ee94749c06424b420b117359b28647ca40a634808fa30010997d775b35a23b,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.392404515831566,0.392404515831566,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_49,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_49.mat,30a6dea5603e23bc4c75ae929d4df96df98aed9c48128516d610db752664766c,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.210336152642367,0.210336152642367,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_50,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_50.mat,a43820fc57226803fa5b40aef7fbdfcd856cbb4aedf27591409470d6bb4869ac,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.451998777771183,0.451998777771183,1,1,0,actual_retained_IQ_component_replay
NO_SIGNAL_51,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_51.mat,82b6e2949730fbf4b2671f4f273c5ace962ebab80b66e911fc6fb83d75141cc6,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.238940200024998,0.238940200024998,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_52,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_52.mat,3125efc5d5c717ce0e2ee7e77352ff706bfbb297b6111fa2d0a3adde2e65bf56,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.279563228544723,0.279563228544723,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_53,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_53.mat,ee809471bdfffc98fbf5133f5ff6161307074a0d529f67ea2071c76400815e28,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.267083888715226,0.267083888715226,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_54,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_54.mat,5158795e70deeaaaaaafb64b921b4b5df7b99cf37bc591b4d865998094319af8,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.279892081333714,0.279892081333714,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_55,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_55.mat,2ce1ec15e57151bb1da55fdc80edf799894dcab4307b877bb539dc38fa674ce2,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.288921498337462,0.288921498337462,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_56,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_56.mat,2dd4edce7abb9f59f6f29e501c61215d6d183c0e2f45fa91183d6231581aa2fd,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.35377693827546,0.35377693827546,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_57,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_57.mat,46de95485acc8d865f26dd679d5d722a4d316da0600174700dd083f089d0e1e5,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.361394748033544,0.361394748033544,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_58,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_58.mat,894707ff37dbce539e00f9001f43995e5d9ebbdb44249573e8cf52c3cbaab24a,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.347916037474504,0.347916037474504,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_59,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_59.mat,b0f3fdf89b9db53c026f833e129fc2e5a4173ddcb905ad888ef940033dce39dd,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.184992014503404,0.184992014503404,0,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_60,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_60.mat,6803a68b21ee519b3643017738f2b22bce32a743cf376f3a744c2062bd3b0aa8,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.257649680766205,0.257649680766205,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_61,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_61.mat,9d3818631f83dea1e26824ab0abb8d29899ab6be6146a3813125f0181f3b1ee9,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.32895728576924,0.32895728576924,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_62,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_62.mat,08d46a08494a315993a2732720ca7ce1b7ae94d6e5c0f86a73a999da50c8eb3d,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.451000717333707,0.451000717333707,1,1,0,actual_retained_IQ_component_replay
NO_SIGNAL_63,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_63.mat,9f70aaa6a64cac6ac4e4eae4f51d4f6c833215688e5643180beba957223aff47,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.290700584233362,0.290700584233362,1,0,1,actual_retained_IQ_component_replay
NO_SIGNAL_64,0,docs\lls\evidence_20260913\received_harq_outcomes_04\pucch_no_signal_64.mat,c13325746500c5ff7d96be54d5676b68ccd92cbf971c7559c7679cad8d50b82c,0.2,0.42,yaml.pucch.detection_threshold_format0_two_symbols,normalized_sequence_correlation,0.408403065753461,0.408403065753461,1,0,1,actual_retained_IQ_component_replay
