FamilyID,CaseID,RequestedPower_dBm,AppliedPower_dBm,MeasuredPower_dBm,PowerError_dB,BLER,Status
F59,F59-P04-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P04-T,21,21,21,0,3.25294129755402e-05,PASS
F59,F59-P05-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P05-T,21,21,21,0,3.25294129755402e-05,PASS
F59,F59-P06-B,0.0205999132796251,0.0205999132796251,0.0205999132796251,0,0.0342175486904994,PASS
F59,F59-P06-T,21,21,21,0,3.25294129755402e-05,PASS
F60,F60-P01-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P01-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F60,F60-P02-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P02-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F60,F60-P03-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P03-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F60,F60-P04-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P04-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F60,F60-P05-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P05-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F60,F60-P06-B,-6,-6,-6,0,0.208608527326045,PASS
F60,F60-P06-T,14.9794000867204,14.9794000867204,14.9794000867204,0,0.000241967124072487,PASS
F61,F61-P01-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P01-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F61,F61-P02-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P02-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F61,F61-P03-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P03-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F61,F61-P04-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P04-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F61,F61-P05-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P05-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F61,F61-P06-B,-2.98970004336019,-2.98970004336019,-2.98970004336019,0,0.0881233933101807,PASS
F61,F61-P06-T,17.9897000433602,17.9897000433602,17.9897000433602,0,8.87232359698924e-05,PASS
F62,F62-P01-B,75.082828328453,75.082828328453,75.082828328453,0,4.81946744211863e-13,PASS
F62,F62-P01-T,47.4432330964326,47.4432330964326,47.4432330964326,0,4.83326134560916e-09,PASS
F62,F62-P02-B,75.0916811508837,75.0916811508837,75.0916811508837,0,4.80526644242011e-13,PASS
F62,F62-P02-T,47.5021064903397,47.5021064903397,47.5021064903397,0,4.73933581321229e-09,PASS
F62,F62-P03-B,75.0911211142716,75.0911211142716,75.0911211142716,0,4.80616356786753e-13,PASS
F62,F62-P03-T,47.5007072989001,47.5007072989001,47.5007072989001,0,4.74154674144671e-09,PASS
F62,F62-P04-B,75.0585461037108,75.0585461037108,75.0585461037108,0,4.85863487085774e-13,PASS
F62,F62-P04-T,47.5005034319496,47.5005034319496,47.5005034319496,0,4.74186896728524e-09,PASS
F62,F62-P05-B,75.0907077350842,75.0907077350842,75.0907077350842,0,4.80682586949349e-13,PASS
F62,F62-P05-T,47.7650423827564,47.7650423827564,47.7650423827564,0,4.34163803801945e-09,PASS
F62,F62-P06-B,75.0468773978534,75.0468773978534,75.0468773978534,0,4.8775696648017e-13,PASS
F62,F62-P06-T,47.3185996293343,47.3185996293343,47.3185996293343,0,5.03828605333154e-09,PASS
F63,F63-P01-B,75.082828328453,75.082828328453,75.082828328453,0,4.81946744211863e-13,PASS
F63,F63-P01-T,47.4432330964326,47.4432330964326,47.4432330964326,0,4.83326134560916e-09,PASS
F63,F63-P02-B,75.0916811508837,75.0916811508837,75.0916811508837,0,4.80526644242011e-13,PASS
F63,F63-P02-T,47.5021064903397,47.5021064903397,47.5021064903397,0,4.73933581321229e-09,PASS
F63,F63-P03-B,75.0911211142716,75.0911211142716,75.0911211142716,0,4.80616356786753e-13,PASS
F63,F63-P03-T,47.5007072989001,47.5007072989001,47.5007072989001,0,4.74154674144671e-09,PASS
F63,F63-P04-B,75.0585461037108,75.0585461037108,75.0585461037108,0,4.85863487085774e-13,PASS
F63,F63-P04-T,47.5005034319496,47.5005034319496,47.5005034319496,0,4.74186896728524e-09,PASS
F63,F63-P05-B,75.0907077350842,75.0907077350842,75.0907077350842,0,4.80682586949349e-13,PASS
F63,F63-P05-T,47.7650423827564,47.7650423827564,47.7650423827564,0,4.34163803801945e-09,PASS
F63,F63-P06-B,75.0468773978534,75.0468773978534,75.0468773978534,0,4.8775696648017e-13,PASS
F63,F63-P06-T,47.3185996293343,47.3185996293343,47.3185996293343,0,5.03828605333154e-09,PASS
F64,F64-P01-B,75.082828328453,75.082828328453,75.082828328453,0,4.81946744211863e-13,PASS
F64,F64-P01-T,47.4432330964326,47.4432330964326,47.4432330964326,0,4.83326134560916e-09,PASS
F64,F64-P02-B,75.0916811508837,75.0916811508837,75.0916811508837,0,4.80526644242011e-13,PASS
F64,F64-P02-T,47.5021064903397,47.5021064903397,47.5021064903397,0,4.73933581321229e-09,PASS
F64,F64-P03-B,75.0911211142716,75.0911211142716,75.0911211142716,0,4.80616356786753e-13,PASS
F64,F64-P03-T,47.5007072989001,47.5007072989001,47.5007072989001,0,4.74154674144671e-09,PASS
F64,F64-P04-B,75.0585461037108,75.0585461037108,75.0585461037108,0,4.85863487085774e-13,PASS
F64,F64-P04-T,47.5005034319496,47.5005034319496,47.5005034319496,0,4.74186896728524e-09,PASS
F64,F64-P05-B,75.0907077350842,75.0907077350842,75.0907077350842,0,4.80682586949349e-13,PASS
F64,F64-P05-T,47.7650423827564,47.7650423827564,47.7650423827564,0,4.34163803801945e-09,PASS
F64,F64-P06-B,75.0468773978534,75.0468773978534,75.0468773978534,0,4.8775696648017e-13,PASS
F64,F64-P06-T,47.3185996293343,47.3185996293343,47.3185996293343,0,5.03828605333154e-09,PASS
