FamilyID,CaseID,BlockerPower_dBm,Offset_Hz,Desensitization_dB,IM3Power_dBm,BLER,Status
F45,F45-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P03-B,-90,5000000,100,-110,1,PASS
F45,F45-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P04-B,-90,5000000,100,-110,1,PASS
F45,F45-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P05-B,-90,5000000,100,-110,1,PASS
F45,F45-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F45,F45-P06-B,-90,5000000,100,-110,1,PASS
F45,F45-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P01-B,-90,5000000,100,-110,1,PASS
F46,F46-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P02-B,-90,5000000,100,-110,1,PASS
F46,F46-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P03-B,-90,5000000,100,-110,1,PASS
F46,F46-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P04-B,-90,5000000,100,-110,1,PASS
F46,F46-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P05-B,-90,5000000,100,-110,1,PASS
F46,F46-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F46,F46-P06-B,-90,5000000,100,-110,1,PASS
F46,F46-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P01-B,-90,5000000,100,-110,1,PASS
F47,F47-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P02-B,-90,5000000,100,-110,1,PASS
F47,F47-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P03-B,-90,5000000,100,-110,1,PASS
F47,F47-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P04-B,-90,5000000,100,-110,1,PASS
F47,F47-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P05-B,-90,5000000,100,-110,1,PASS
F47,F47-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F47,F47-P06-B,-90,5000000,100,-110,1,PASS
F47,F47-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P01-B,-90,5000000,100,-110,1,PASS
F48,F48-P01-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P02-B,-90,5000000,100,-110,1,PASS
F48,F48-P02-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P03-B,-90,5000000,100,-110,1,PASS
F48,F48-P03-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P04-B,-90,5000000,100,-110,1,PASS
F48,F48-P04-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P05-B,-90,5000000,100,-110,1,PASS
F48,F48-P05-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F48,F48-P06-B,-90,5000000,100,-110,1,PASS
F48,F48-P06-T,-45,5000000,17782.7941003892,1658.27941003892,1,PASS
F41,F41-P01-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P01-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
F41,F41-P02-B,-90,5000000,1.31360441023421,-119.868639558977,0.0131360441023421,PASS
F41,F41-P02-T,-45,5000000,3.20049043037974,-119.679950956962,0.0320049043037974,PASS
