ExperimentID,FamilyID,PairID,Role,Seed,TrialID,Metric,Value,Status
F12-P06-B,F12,F12-P06,baseline,197,6,EVM_pct,140.674228908997,PASS
F12-P06-T,F12,F12-P06,treatment,197,6,EVM_pct,140.681965815961,PASS
F13-P01-B,F13,F13-P01,baseline,11,1,EVM_pct,135.548513566785,PASS
F13-P01-T,F13,F13-P01,treatment,11,1,EVM_pct,135.450904931128,PASS
F13-P02-B,F13,F13-P02,baseline,23,2,EVM_pct,140.551121300521,PASS
F13-P02-T,F13,F13-P02,treatment,23,2,EVM_pct,140.570854553552,PASS
F13-P03-B,F13,F13-P03,baseline,47,3,EVM_pct,140.144112573896,PASS
F13-P03-T,F13,F13-P03,treatment,47,3,EVM_pct,140.217246078647,PASS
F13-P04-B,F13,F13-P04,baseline,89,4,EVM_pct,137.67969066054,PASS
F13-P04-T,F13,F13-P04,treatment,89,4,EVM_pct,137.692128743129,PASS
F13-P05-B,F13,F13-P05,baseline,131,5,EVM_pct,138.306981442891,PASS
F13-P05-T,F13,F13-P05,treatment,131,5,EVM_pct,138.305562365016,PASS
F13-P06-B,F13,F13-P06,baseline,197,6,EVM_pct,140.674228908997,PASS
F13-P06-T,F13,F13-P06,treatment,197,6,EVM_pct,140.682882845961,PASS
F14-P01-B,F14,F14-P01,baseline,11,1,EVM_pct,0.0982793319014254,PASS
F14-P01-T,F14,F14-P01,treatment,11,1,EVM_pct,0.246839074297107,PASS
F14-P02-B,F14,F14-P02,baseline,23,2,EVM_pct,0.0827606915148692,PASS
F14-P02-T,F14,F14-P02,treatment,23,2,EVM_pct,0.207849661040257,PASS
F14-P03-B,F14,F14-P03,baseline,47,3,EVM_pct,0.0910409878523308,PASS
F14-P03-T,F14,F14-P03,treatment,47,3,EVM_pct,0.228377446632453,PASS
F14-P04-B,F14,F14-P04,baseline,89,4,EVM_pct,0.118938779344329,PASS
F14-P04-T,F14,F14-P04,treatment,89,4,EVM_pct,0.298681075455231,PASS
F14-P05-B,F14,F14-P05,baseline,131,5,EVM_pct,0.0845596245069749,PASS
F14-P05-T,F14,F14-P05,treatment,131,5,EVM_pct,0.212467399356746,PASS
F14-P06-B,F14,F14-P06,baseline,197,6,EVM_pct,0.1113657395698,PASS
F14-P06-T,F14,F14-P06,treatment,197,6,EVM_pct,0.279761119772551,PASS
F15-P01-B,F15,F15-P01,baseline,11,1,EVM_pct,0.0982793319014254,PASS
F15-P01-T,F15,F15-P01,treatment,11,1,EVM_pct,0.277030830616645,PASS
F15-P02-B,F15,F15-P02,baseline,23,2,EVM_pct,0.0827606915148692,PASS
F15-P02-T,F15,F15-P02,treatment,23,2,EVM_pct,0.233482312833188,PASS
F15-P03-B,F15,F15-P03,baseline,47,3,EVM_pct,0.0910409878523308,PASS
F15-P03-T,F15,F15-P03,treatment,47,3,EVM_pct,0.257783679454715,PASS
F15-P04-B,F15,F15-P04,baseline,89,4,EVM_pct,0.118938779344329,PASS
F15-P04-T,F15,F15-P04,treatment,89,4,EVM_pct,0.335960347556886,PASS
F15-P05-B,F15,F15-P05,baseline,131,5,EVM_pct,0.0845596245069749,PASS
F15-P05-T,F15,F15-P05,treatment,131,5,EVM_pct,0.238041705226652,PASS
F15-P06-B,F15,F15-P06,baseline,197,6,EVM_pct,0.1113657395698,PASS
F15-P06-T,F15,F15-P06,treatment,197,6,EVM_pct,0.313931755978055,PASS
F16-P01-B,F16,F16-P01,baseline,11,1,EVM_pct,0.0982793319014254,PASS
F16-P01-T,F16,F16-P01,treatment,11,1,EVM_pct,0.310758162316616,PASS
F16-P02-B,F16,F16-P02,baseline,23,2,EVM_pct,0.0827606915148692,PASS
F16-P02-T,F16,F16-P02,treatment,23,2,EVM_pct,0.261674754076592,PASS
F16-P03-B,F16,F16-P03,baseline,47,3,EVM_pct,0.0910409878523308,PASS
F16-P03-T,F16,F16-P03,treatment,47,3,EVM_pct,0.287579274821447,PASS
F16-P04-B,F16,F16-P04,baseline,89,4,EVM_pct,0.118938779344329,PASS
F16-P04-T,F16,F16-P04,treatment,89,4,EVM_pct,0.376032562958036,PASS
F16-P05-B,F16,F16-P05,baseline,131,5,EVM_pct,0.0845596245069749,PASS
F16-P05-T,F16,F16-P05,treatment,131,5,EVM_pct,0.26746638307163,PASS
F16-P06-B,F16,F16-P06,baseline,197,6,EVM_pct,0.1113657395698,PASS
F16-P06-T,F16,F16-P06,treatment,197,6,EVM_pct,0.35219203327814,PASS
F17-P01-B,F17,F17-P01,baseline,11,1,EVM_pct,0.0982793319014254,PASS
F17-P01-T,F17,F17-P01,treatment,11,1,EVM_pct,0.348092645547097,PASS
F17-P02-B,F17,F17-P02,baseline,23,2,EVM_pct,0.0827606915148692,PASS
F17-P02-T,F17,F17-P02,treatment,23,2,EVM_pct,0.294460393644645,PASS
F17-P03-B,F17,F17-P03,baseline,47,3,EVM_pct,0.0910409878523308,PASS
F17-P03-T,F17,F17-P03,treatment,47,3,EVM_pct,0.32404692545065,PASS
F17-P04-B,F17,F17-P04,baseline,89,4,EVM_pct,0.118938779344329,PASS
F17-P04-T,F17,F17-P04,treatment,89,4,EVM_pct,0.425049048895119,PASS
F17-P05-B,F17,F17-P05,baseline,131,5,EVM_pct,0.0845596245069749,PASS
F17-P05-T,F17,F17-P05,treatment,131,5,EVM_pct,0.299509815053689,PASS
F17-P06-B,F17,F17-P06,baseline,197,6,EVM_pct,0.1113657395698,PASS
F17-P06-T,F17,F17-P06,treatment,197,6,EVM_pct,0.3960161932281,PASS
F18-P01-B,F18,F18-P01,baseline,11,1,EVM_pct,0.0982793319014254,PASS
F18-P01-T,F18,F18-P01,treatment,11,1,EVM_pct,0.391103809858537,PASS
F18-P02-B,F18,F18-P02,baseline,23,2,EVM_pct,0.0827606915148692,PASS
F18-P02-T,F18,F18-P02,treatment,23,2,EVM_pct,0.329309133655861,PASS
F18-P03-B,F18,F18-P03,baseline,47,3,EVM_pct,0.0910409878523308,PASS
F18-P03-T,F18,F18-P03,treatment,47,3,EVM_pct,0.360788528607777,PASS
F18-P04-B,F18,F18-P04,baseline,89,4,EVM_pct,0.118938779344329,PASS
F18-P04-T,F18,F18-P04,treatment,89,4,EVM_pct,0.473209774765414,PASS
F18-P05-B,F18,F18-P05,baseline,131,5,EVM_pct,0.0845596245069749,PASS
F18-P05-T,F18,F18-P05,treatment,131,5,EVM_pct,0.336971395198553,PASS
F18-P06-B,F18,F18-P06,baseline,197,6,EVM_pct,0.1113657395698,PASS
F18-P06-T,F18,F18-P06,treatment,197,6,EVM_pct,0.4435293469107,PASS
F19-P01-B,F19,F19-P01,baseline,11,1,EVM_pct,0,PASS
F19-P01-T,F19,F19-P01,treatment,11,1,EVM_pct,2.38745891171493,PASS
F19-P02-B,F19,F19-P02,baseline,23,2,EVM_pct,0,PASS
