Direction,UEIndex,RNTI,Slot,Frame,HarqID,NDI,RV,IsRetransmission,FeedbackDueSlot,CurrentDecodeOK,CombinedDecodeOK,MeasuredSINR_dB,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,Goodput_Mbps,Status,Notes
"DL",34,34,7,7,0,1,0,0,11,1,1,35.547900487625,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",20,20,7,7,0,1,0,0,11,1,1,21.2696238739457,14,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",22,22,7,7,0,1,0,0,11,1,1,54.2301769705067,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",32,32,7,7,0,1,0,0,11,1,1,24.7109067128245,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",37,37,7,7,0,1,0,0,11,1,1,35.832142870611,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",38,38,7,7,0,1,0,0,11,1,1,30.270747614173,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",40,40,7,7,0,1,0,0,11,1,1,20.9361382535284,14,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",42,42,7,7,0,1,0,0,11,1,1,22.2370099193392,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",44,44,7,7,0,1,0,0,11,1,1,27.3346402041093,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",49,49,7,7,0,1,0,0,11,1,1,22.3951748595462,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",1,1,7,7,0,1,0,0,11,1,1,32.0979935384073,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",8,8,7,7,0,1,0,0,11,1,1,3.32531956069372,4,4,"QPSK",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",11,11,7,7,0,1,0,0,11,1,1,8.64150930112338,7,11,"16QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",17,17,7,7,0,1,0,0,11,1,1,8.15435458365945,7,11,"16QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",21,21,7,7,0,1,0,0,11,1,1,31.0726933088417,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",25,25,7,7,0,1,0,0,11,1,1,35.9874256965909,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",28,28,7,7,0,1,0,0,11,1,1,28.4097714228964,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",30,30,7,7,0,1,0,0,11,1,1,29.6914488865611,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",31,31,7,7,0,1,0,0,11,1,1,31.0557296137101,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",36,36,7,7,0,1,0,0,11,1,1,58.2527506862822,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",39,39,7,7,0,1,0,0,11,1,1,44.2391209194543,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",46,46,7,7,0,1,0,0,11,1,1,30.1104412597243,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",48,48,7,7,0,1,0,0,11,1,1,23.2801553324116,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",26,26,8,8,1,1,0,0,12,1,1,30.8735314918132,15,26,"64QAM",43.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",14,14,8,8,1,1,0,0,12,1,1,12.3402714650325,9,15,"16QAM",16.128,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",3,3,8,8,1,1,0,0,12,0,0,26.2177995984569,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",5,5,8,8,1,1,0,0,12,1,1,-9.68022488543782,0,0,"QPSK",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",7,7,8,8,1,1,0,0,12,1,1,17.3006012182844,12,22,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",9,9,8,8,1,1,0,0,12,0,0,-4.50500645464856,1,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",19,19,8,8,1,1,0,0,12,1,1,17.1043555352419,12,22,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",27,27,8,8,1,1,0,0,12,1,1,7.38732543691986,6,8,"QPSK",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",43,43,8,8,1,1,0,0,12,1,1,27.2861165730474,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",47,47,8,8,1,1,0,0,12,1,1,43.8918063161387,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",10,10,8,8,1,1,0,0,12,0,0,28.3131344544847,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",50,50,8,8,1,1,0,0,12,0,0,15.3578823007732,11,20,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",6,6,8,8,1,1,0,0,12,0,0,-18.61164043658,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",4,4,8,8,1,1,0,0,12,1,1,33.0364396880755,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",29,29,8,8,1,1,0,0,12,1,1,29.1055189614033,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",35,35,8,8,1,1,0,0,12,1,1,23.9338471714292,15,26,"64QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",41,41,8,8,1,1,0,0,12,1,1,8.07097010383061,7,11,"16QAM",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",45,45,8,8,1,1,0,0,12,1,1,1.13802712042025,3,2,"QPSK",4.944,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",2,2,8,8,1,1,0,0,12,0,0,34.4168015804423,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",18,18,8,8,1,1,0,0,12,0,0,8.62236026799955,7,11,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",34,34,8,8,1,1,0,0,12,0,0,35.6434050277309,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",12,12,8,8,1,1,0,0,12,1,1,58.5222857008864,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",13,13,8,8,1,1,0,0,12,1,1,25.0546774800957,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",15,15,8,8,1,1,0,0,12,1,1,31.2039367802451,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",16,16,8,8,1,1,0,0,12,1,1,9.27321122107807,7,11,"16QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",23,23,8,8,1,1,0,0,12,1,1,47.5064767971533,15,26,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",24,24,8,8,1,1,0,0,12,1,1,18.1184000734049,12,22,"64QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",33,33,8,8,1,1,0,0,12,1,1,11.5225866566678,9,15,"16QAM",4.048,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",22,22,8,8,1,1,0,0,12,0,0,42.3493042024506,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",38,38,8,8,1,1,0,0,12,1,1,8.60050118043371,7,11,"16QAM",48.144,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",42,42,8,8,1,1,0,0,12,0,0,17.6630132630669,12,22,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",20,20,8,8,1,1,0,0,12,1,1,-0.783800105276442,2,0,"QPSK",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",32,32,8,8,1,1,0,0,12,1,1,20.9666120127305,14,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",37,37,8,8,1,1,0,0,12,1,1,13.8444455766087,10,18,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",40,40,8,8,1,1,0,0,12,1,1,19.3316625592677,13,24,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",44,44,8,8,1,1,0,0,12,1,1,26.9056625726813,15,26,"64QAM",4.432,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",49,49,8,8,1,1,0,0,12,0,0,14.808058026323,11,20,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",30,30,8,8,1,1,0,0,12,0,0,29.6781182938734,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",46,46,8,8,1,1,0,0,12,0,0,13.5160503236103,10,18,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",1,1,8,8,1,1,0,0,12,1,1,25.782219392879,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",8,8,8,8,1,1,0,0,12,1,1,3.04299431372846,4,4,"QPSK",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",11,11,8,8,1,1,0,0,12,1,1,2.77205255545033,4,4,"QPSK",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",17,17,8,8,1,1,0,0,12,1,1,7.76519282442061,7,11,"16QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",21,21,8,8,1,1,0,0,12,0,0,17.66227546505,12,22,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",25,25,8,8,1,1,0,0,12,1,1,14.3435217974046,10,18,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",28,28,8,8,1,1,0,0,12,1,1,10.5800209339117,8,13,"16QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",31,31,8,8,1,1,0,0,12,0,0,-1.42402321682561,2,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",36,36,8,8,1,1,0,0,12,1,1,31.657858494691,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",39,39,8,8,1,1,0,0,12,1,1,34.0739334588204,15,26,"64QAM",3.088,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",48,48,8,8,1,1,0,0,12,0,0,1.95521186448808,3,2,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",3,3,9,9,2,1,0,0,13,0,0,48.7242436905469,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",26,26,9,9,2,1,0,0,13,0,0,32.7243862790248,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",43,43,9,9,2,1,0,0,13,0,0,30.0483674973114,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",47,47,9,9,2,1,0,0,13,0,0,17.6540048999484,12,22,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",19,19,9,9,2,1,0,0,13,1,1,5.49783261894108,5,6,"QPSK",8.448,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",14,14,9,9,2,1,0,0,13,1,1,26.1468200163299,15,26,"64QAM",5.2,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",5,5,9,9,2,1,0,0,13,1,1,36.5963604376676,15,26,"64QAM",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",9,9,9,9,2,1,0,0,13,1,1,-13.0724844460356,0,0,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",40,40,9,9,2,1,0,0,13,1,1,28.7819452153272,15,26,"64QAM",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",10,10,9,9,2,1,0,0,13,0,0,18.4533637435555,13,24,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",35,35,9,9,2,1,0,0,13,0,0,8.95588452120266,7,11,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",50,50,9,9,2,1,0,0,13,1,1,30.0183583220703,15,26,"64QAM",8.064,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",4,4,9,9,2,1,0,0,13,1,1,28.7956228769366,15,26,"64QAM",1.152,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",6,6,9,9,2,1,0,0,13,1,1,30.8872337659992,15,26,"64QAM",0.576,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",29,29,9,9,2,1,0,0,13,0,0,15.7494789334243,11,20,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",41,41,9,9,2,1,0,0,13,0,0,9.256368965635,7,11,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",45,45,9,9,2,1,0,0,13,1,1,7.64302494914664,7,11,"16QAM",1.152,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",2,2,9,9,2,1,0,0,13,0,0,4.77684448544831,5,6,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",15,15,9,9,2,1,0,0,13,0,0,5.4469777116107,5,6,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",23,23,9,9,2,1,0,0,13,0,0,4.99272781717576,5,6,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",18,18,9,9,2,1,0,0,13,1,1,41.5696431055396,15,26,"64QAM",3.216,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",12,12,9,9,2,1,0,0,13,1,1,4.08802937002009,4,4,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",13,13,9,9,2,1,0,0,13,1,1,5.70341952258054,5,6,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",16,16,9,9,2,1,0,0,13,1,1,-5.97354412750866,0,0,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",24,24,9,9,2,1,0,0,13,1,1,6.52893923644336,6,8,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",33,33,9,9,2,1,0,0,13,1,1,-17.0522643156633,0,0,"QPSK",1.008,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",22,22,9,9,2,1,0,0,13,0,0,31.389915230733,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",34,34,9,9,2,1,0,0,13,0,0,7.88945892804647,7,11,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",42,42,9,9,2,1,0,0,13,0,0,-7.84854443039485,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",38,38,9,9,2,1,0,0,13,1,1,55.7082775718562,15,26,"64QAM",2.832,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",8,8,9,9,2,1,0,0,13,1,1,-12.7377511162643,0,0,"QPSK",0.864,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",20,20,9,9,2,1,0,0,13,1,1,-7.26735272294743,0,0,"QPSK",0.864,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",32,32,9,9,2,1,0,0,13,1,1,24.6322720409335,15,26,"64QAM",0.864,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",37,37,9,9,2,1,0,0,13,0,0,11.4209607843911,9,15,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",44,44,9,9,2,1,0,0,13,0,0,36.1966432436965,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",49,49,9,9,2,1,0,0,13,0,0,27.2387127026495,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",30,30,9,9,2,1,0,0,13,0,0,23.4933191078217,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",39,39,9,9,2,1,0,0,13,0,0,7.44705552305024,6,8,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",7,7,9,9,2,1,0,0,13,0,0,-15.1541216781426,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",46,46,9,9,2,1,0,0,13,1,1,29.7461353009879,15,26,"64QAM",3.6,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",27,27,9,9,2,1,0,0,13,1,1,15.4531270895479,11,20,"64QAM",1.536,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",11,11,9,9,2,1,0,0,13,0,0,-33.2617296244363,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",1,1,9,9,2,1,0,0,13,1,1,-18.9814222972602,0,0,"QPSK",0.608,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",17,17,9,9,2,1,0,0,13,0,0,-5.7103899057176,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",21,21,9,9,2,1,0,0,13,1,1,23.7002547860533,15,26,"64QAM",0.608,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",25,25,9,9,2,1,0,0,13,0,0,12.9694460338069,10,18,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"DL",28,28,9,9,2,1,0,0,13,1,1,17.6314221408223,12,22,"64QAM",0.608,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",31,31,9,9,2,1,0,0,13,1,1,30.0399017303883,15,26,"64QAM",0.288,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",36,36,9,9,2,1,0,0,13,1,1,9.27723331977267,7,11,"16QAM",0.608,"PASS","Canonical slot-runtime HARQ transmission attempt."
"DL",48,48,9,9,2,1,0,0,13,0,0,-30.8520153584847,0,0,"QPSK",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",3,3,9,9,0,1,0,0,13,1,1,41.7427252788724,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",5,5,9,9,0,1,0,0,13,1,1,45.4229815308107,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",9,9,9,9,0,1,0,0,13,0,0,22.8880129978893,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",14,14,9,9,0,1,0,0,13,1,1,37.9931130779106,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",19,19,9,9,0,1,0,0,13,1,1,30.6479068034782,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",26,26,9,9,0,1,0,0,13,1,1,23.6280567833995,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",40,40,9,9,0,1,0,0,13,1,1,44.0935742535252,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",43,43,9,9,0,1,0,0,13,1,1,28.6965970232153,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",47,47,9,9,0,1,0,0,13,1,1,31.4173347224393,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",4,4,9,9,0,1,0,0,13,1,1,20.3424086078836,14,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",6,6,9,9,0,1,0,0,13,1,1,21.7867062260691,15,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",10,10,9,9,0,1,0,0,13,1,1,27.1830854355009,15,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",29,29,9,9,0,1,0,0,13,1,1,44.9457559310017,15,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",35,35,9,9,0,1,0,0,13,1,1,15.1019622136583,11,20,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",41,41,9,9,0,1,0,0,13,1,1,22.7933462409927,15,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",45,45,9,9,0,1,0,0,13,1,1,20.839224414833,14,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",50,50,9,9,0,1,0,0,13,1,1,36.0456923402985,15,26,"64QAM",3.344,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",2,2,9,9,0,1,0,0,13,0,0,13.0487329447623,10,18,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",12,12,9,9,0,1,0,0,13,1,1,32.0383424423651,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",13,13,9,9,0,1,0,0,13,1,1,20.3771867765392,14,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",15,15,9,9,0,1,0,0,13,0,0,19.1950811583271,13,24,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",16,16,9,9,0,1,0,0,13,0,0,11.91856199018,9,15,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",18,18,9,9,0,1,0,0,13,1,1,28.8328546232343,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",23,23,9,9,0,1,0,0,13,1,1,27.793879930287,15,26,"64QAM",2.96,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",24,24,9,9,0,1,0,0,13,0,0,17.7364911306236,12,22,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",33,33,9,9,0,1,0,0,13,0,0,12.4802329172032,9,15,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",8,8,9,9,0,1,0,0,13,0,0,9.72268286539769,8,13,"16QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",20,20,9,9,0,1,0,0,13,0,0,14.3207175968637,10,18,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",22,22,9,9,0,1,0,0,13,1,1,60.3792903063716,15,26,"64QAM",2.512,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",32,32,9,9,0,1,0,0,13,0,0,52.308686975589,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",34,34,9,9,0,1,0,0,13,0,0,28.0321128238514,15,26,"64QAM",0,"FAIL","Canonical slot-runtime HARQ transmission attempt."
"UL",37,37,9,9,0,1,0,0,13,1,1,23.0083957849102,15,26,"64QAM",2.512,"PASS","Canonical slot-runtime HARQ transmission attempt."
"UL",38,38,9,9,0,1,0,0,13,1,1,44.7259682531136,15,26,"64QAM",2.512,"PASS","Canonical slot-runtime HARQ transmission attempt."
