MetricKey,Entity,Statistic,Availability,Value,TextValue,Unit,Mode,Notes
stop_condition_distribution,DL@SNR=12dB,ack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Packets that terminated with ACK.
stop_condition_distribution,DL@SNR=12dB,drop_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Packets that exhausted retransmissions.
latency_percentile,DL@SNR=12dB,p95_ms,available,4,not_applicable,ms,exercise,HARQ exercise mode. HARQ RTT percentile.
reliability_percentile,DL@SNR=12dB,success_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Packet success rate after the HARQ process.
control_miss_induced_harq_penalties,DL@SNR=12dB,penalty_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. PDCCH-miss induced HARQ penalties are disabled in the current LLS HARQ probe.
parity_cb_packet_level_coding_benefits,DL@SNR=12dB,gain_fraction,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Parity-CB and packet-level coding enhancements are disabled in the current LLS HARQ probe.
harq_gain_per_retransmission,DL@SNR=12dB,recovered_after_retx_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Recovered packets attributable to HARQ retransmissions.
rtt_distribution,UL@SNR=12dB,mean_ms,available,4.5,not_applicable,ms,exercise,HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count.
rtt_distribution,UL@SNR=12dB,p95_ms,available,6,not_applicable,ms,exercise,HARQ exercise mode. Measured packet RTT from HARQ feedback timing and actual attempt count.
retransmission_count_distribution,UL@SNR=12dB,mean_retx,available,1.25,not_applicable,count,exercise,HARQ exercise mode. Average HARQ retransmissions per packet from real waveform decode outcomes.
retransmission_count_distribution,UL@SNR=12dB,retx_packet_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Fraction of packets that required at least one HARQ retransmission.
retransmission_count_distribution,UL@SNR=12dB,retx_packets_observed,available,4,not_applicable,count,exercise,HARQ exercise mode. Count of packets that required at least one HARQ retransmission.
combining_gain,UL@SNR=12dB,recovered_after_retx_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Fraction of packets only recovered after HARQ combining.
ack_nack_dtx_distribution,UL@SNR=12dB,first_attempt_ack_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. First-attempt ACK rate before any HARQ retransmission opportunity.
ack_nack_dtx_distribution,UL@SNR=12dB,first_attempt_nack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. First-attempt NACK rate before any HARQ retransmission opportunity.
ack_nack_dtx_distribution,UL@SNR=12dB,final_ack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Final ACK rate after the HARQ process completes.
ack_nack_dtx_distribution,UL@SNR=12dB,final_nack_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Final drop/NACK rate after the HARQ process completes.
ack_nack_dtx_distribution,UL@SNR=12dB,dtx_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. DTX is not modeled in the current LLS HARQ probe.
feedback_overhead,UL@SNR=12dB,total_bits,available,9,not_applicable,bits,exercise,HARQ exercise mode. One ACK/NACK feedback bit per HARQ attempt.
stop_condition_distribution,UL@SNR=12dB,ack_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Packets that terminated with ACK.
stop_condition_distribution,UL@SNR=12dB,drop_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Packets that exhausted retransmissions.
latency_percentile,UL@SNR=12dB,p95_ms,available,6,not_applicable,ms,exercise,HARQ exercise mode. HARQ RTT percentile.
reliability_percentile,UL@SNR=12dB,success_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Packet success rate after the HARQ process.
control_miss_induced_harq_penalties,UL@SNR=12dB,penalty_rate,available,0,not_applicable,fraction,exercise,HARQ exercise mode. PDCCH-miss induced HARQ penalties are disabled in the current LLS HARQ probe.
parity_cb_packet_level_coding_benefits,UL@SNR=12dB,gain_fraction,available,0,not_applicable,fraction,exercise,HARQ exercise mode. Parity-CB and packet-level coding enhancements are disabled in the current LLS HARQ probe.
harq_gain_per_retransmission,UL@SNR=12dB,recovered_after_retx_rate,available,1,not_applicable,fraction,exercise,HARQ exercise mode. Recovered packets attributable to HARQ retransmissions.
