CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,DL,max,observed,1,3.20789333333333,3.20789333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,UL,min,observed,1,9.27333333333333,9.27333333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,UL,mean,observed,1,9.27333333333333,9.27333333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,goodput,goodput,UL,max,observed,1,9.27333333333333,9.27333333333333,Mbps,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,spectral_efficiency,spectral efficiency,DL,mean,observed,1,0.0320789333333333,0.0320789333333333,bit/s/Hz,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,spectral_efficiency,spectral efficiency,DL,max,observed,1,0.0320789333333333,0.0320789333333333,bit/s/Hz,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,spectral_efficiency,spectral efficiency,UL,mean,observed,1,0.0927333333333333,0.0927333333333333,bit/s/Hz,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,spectral_efficiency,spectral efficiency,UL,max,observed,1,0.0927333333333333,0.0927333333333333,bit/s/Hz,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,DL,mean,observed,1,3.20789333333333,3.20789333333333,Mbps,air_interface/csv/dl_pdsch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,DL,p95,observed,1,4.944,4.944,Mbps,air_interface/csv/dl_pdsch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,DL,max,observed,1,48.144,48.144,Mbps,air_interface/csv/dl_pdsch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,UL,mean,observed,1,9.27333333333333,9.27333333333333,Mbps,air_interface/csv/ul_pusch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,UL,p95,observed,1,48.144,48.144,Mbps,air_interface/csv/ul_pusch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,user_perceived_throughput,user-perceived throughput if modeled,UL,max,observed,1,54.288,54.288,Mbps,air_interface/csv/ul_pusch_trials.csv,LLS has no application-layer perception model; emitted as PHY goodput equivalent.
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,DL,10pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.1. Sample count per SNR: n=150
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,DL,1pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.01. Sample count per SNR: n=150
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,DL,0_1pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.001. Sample count per SNR: n=150
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,DL,0_01pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.0001. Sample count per SNR: n=150
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,UL,10pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.1. Sample count per SNR: n=96
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,UL,1pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.01. Sample count per SNR: n=96
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,UL,0_1pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.001. Sample count per SNR: n=96
B,basic_phy_performance_outputs,Basic PHY performance outputs,required_snr_target_bler,required SNR at target BLER values,UL,0_01pct,not_available,0,NaN,not_enough_data_insufficient_points,dB,air_interface/csv/lls_snr_sweep.csv,Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.0001. Sample count per SNR: n=96
B,basic_phy_performance_outputs,Basic PHY performance outputs,outage_probability,outage probability,DL,rate,observed,1,0.266666666666667,0.266666666666667,fraction,air_interface/csv/dl_pdsch_trials.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,outage_probability,outage probability,DL,count,observed,1,40,40,count,air_interface/csv/dl_pdsch_trials.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,outage_probability,outage probability,UL,rate,observed,1,0.46875,0.46875,fraction,air_interface/csv/ul_pusch_trials.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,outage_probability,outage probability,UL,count,observed,1,45,45,count,air_interface/csv/ul_pusch_trials.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,error_floor_region_characterization,error-floor region characterization,DL,assessment,observed,1,NaN,possible_error_floor_above_1e-3,bler,air_interface/csv/lls_snr_sweep.csv,
B,basic_phy_performance_outputs,Basic PHY performance outputs,error_floor_region_characterization,error-floor region characterization,UL,assessment,observed,1,NaN,possible_error_floor_above_1e-3,bler,air_interface/csv/lls_snr_sweep.csv,
