ScenarioID,ConfigHash,RunTag,RunnerProfile,Direction,FieldName,ObservedValue,SourceArtifact,ValueSource,ValueRole,ValueStatus,ValueDefinition,FinalizedFlag,PlaceholderFlag,FallbackFlag,NAReason,ConsistencyStatus
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,UseIdealTimingSync,0,air_interface/csv/dl_pdsch_trials.csv,resolved_receiver_timing_policy,resolved,OK,Resolved receiver timing-sync policy consumed by the active DL/UL receiver trials.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,UL,UseIdealTimingSync,0,air_interface/csv/ul_pusch_trials.csv,resolved_receiver_timing_policy,resolved,OK,Resolved receiver timing-sync policy consumed by the active DL/UL receiver trials.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ConfiguredSNR_dB,12,air_interface/csv/dl_pdsch_trials.csv,configured_runtime_operating_point_reference,configured,OK,"Configured operating-point SNR, not a measured SINR.",0,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,AppliedAWGNSNR_dB,44.5777952701,air_interface/csv/dl_pdsch_trials.csv,noise_model_replay,applied,OK,AWGN-equivalent SNR actually applied by the active channel/noise replay path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ReceiverHestSINR_dB,39.4446903754,air_interface/csv/dl_pdsch_trials.csv,receiver_hest_csi_feedback_wideband_effective_sinr,estimated,OK,Wideband effective SINR estimated from receiver Hest and CSI feedback. This is not decoder-truth SINR.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,DecoderTruthProxySINR_dB,0.856272333601,air_interface/csv/dl_pdsch_trials.csv,post_equalization_evm_proxy,derived,OK,Post-equalization decode-side SINR proxy derived as 10log10(1/EVM_rms^2) from equalized-vs-reference symbol mismatch.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,WidebandCQI,15,air_interface/csv/dl_pdsch_trials.csv,receiver_hest_csi_feedback,estimated,OK,Estimated CQI from CSI feedback path.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,MCS,0,air_interface/csv/dl_pdsch_trials.csv,scheduler_grant,applied,OK,Actual transmitted MCS from the scheduler grant.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,ConfiguredBeamSelectionStrategy,runtime_best_beam_per_link,air_interface/csv/dl_pdsch_trials.csv,resolved_user_beam_selection_policy,configured,OK,Configured beam-selection strategy requested for the active user context.,1,0,0,none,observed
lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot,a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c,webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900,waveform_bundle,DL,BeamSelectionStrategy,runtime_best_beam_per_link,air_interface/csv/dl_pdsch_trials.csv,runtime_beam_selection_policy,resolved,OK,Beam-selection strategy token actually carried by the active runtime trial row.,1,0,0,none,observed
