Entity,EntityType,EntityID,Domain,Direction,Frame,Slot,Symbol,TimestampSim_ms,UEID,CellID,BaseStationID,RNTI,PRBCount,ActiveBWFraction,ActiveRank,ActiveTxRUCount,ControlMonitoringLoad,TxPower_dBm,RxPowerEst_dBm,State,Duration_s,Power_W,Energy_J,SuccessfulBits,RFChainCount,BBProcessingEnergy_J,SourceArtifact,Status
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,13,3,3,13,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,13,DL_data,DL,7,7,not_applicable,63,13,3,3,13,27,0.0989010989010989,2,0,0,NaN,-79.1848,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,15,3,3,15,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,15,DL_data,DL,7,7,not_applicable,63,15,3,3,15,27,0.0989010989010989,2,0,0,NaN,-78.2167,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,16,3,3,16,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,16,DL_data,DL,7,7,not_applicable,63,16,3,3,16,27,0.0989010989010989,2,0,0,NaN,-85.1512,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,18,3,3,18,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,18,DL_data,DL,7,7,not_applicable,63,18,3,3,18,27,0.0989010989010989,2,0,0,NaN,-93.8962,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,23,3,3,23,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,23,DL_data,DL,7,7,not_applicable,63,23,3,3,23,27,0.0989010989010989,2,0,0,NaN,-67.1216,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,24,3,3,24,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,24,DL_data,DL,7,7,not_applicable,63,24,3,3,24,27,0.0989010989010989,2,0,0,NaN,-90.7412,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,33,3,3,33,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,33,DL_data,DL,7,7,not_applicable,63,33,3,3,33,27,0.0989010989010989,2,0,0,NaN,-104.1746,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,3,DL_data,DL,7,7,not_applicable,63,34,3,3,34,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,34,DL_data,DL,7,7,not_applicable,63,34,3,3,34,27,0.0989010989010989,2,0,0,NaN,-81.646,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,20,4,4,20,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,20,DL_data,DL,7,7,not_applicable,63,20,4,4,20,30,0.10989010989011,2,0,0,NaN,-96.2182,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,22,4,4,22,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,22,DL_data,DL,7,7,not_applicable,63,22,4,4,22,30,0.10989010989011,2,0,0,NaN,-63.3495,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,32,4,4,32,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,32,DL_data,DL,7,7,not_applicable,63,32,4,4,32,30,0.10989010989011,2,0,0,NaN,-93.1474,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,37,4,4,37,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,37,DL_data,DL,7,7,not_applicable,63,37,4,4,37,30,0.10989010989011,2,0,0,NaN,-82.0806,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,38,4,4,38,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,38,DL_data,DL,7,7,not_applicable,63,38,4,4,38,30,0.10989010989011,2,0,0,NaN,-87.5354,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,40,4,4,40,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,40,DL_data,DL,7,7,not_applicable,63,40,4,4,40,30,0.10989010989011,2,0,0,NaN,-96.4578,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,42,4,4,42,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,42,DL_data,DL,7,7,not_applicable,63,42,4,4,42,30,0.10989010989011,2,0,0,NaN,-95.1719,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,44,4,4,44,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,44,DL_data,DL,7,7,not_applicable,63,44,4,4,44,30,0.10989010989011,2,0,0,NaN,-89.9245,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,4,DL_data,DL,7,7,not_applicable,63,49,4,4,49,30,0.10989010989011,2,2,1,46,NaN,active_tx,0.0005,319.503147630669,0.159751573815335,2216,2,0.00287912087912088,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,49,DL_data,DL,7,7,not_applicable,63,49,4,4,49,30,0.10989010989011,2,0,0,NaN,-95.2038,active_rx,0.0005,1.5,0.00075,2216,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,1,5,5,1,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,1,DL_data,DL,7,7,not_applicable,63,1,5,5,1,21,0.0769230769230769,2,0,0,NaN,-83.6883,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,8,5,5,8,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,8,DL_data,DL,7,7,not_applicable,63,8,5,5,8,21,0.0769230769230769,2,0,0,NaN,-112.6922,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,11,5,5,11,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,11,DL_data,DL,7,7,not_applicable,63,11,5,5,11,21,0.0769230769230769,2,0,0,NaN,-108.0202,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,17,5,5,17,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,17,DL_data,DL,7,7,not_applicable,63,17,5,5,17,21,0.0769230769230769,2,0,0,NaN,-108.2095,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,21,5,5,21,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,21,DL_data,DL,7,7,not_applicable,63,21,5,5,21,21,0.0769230769230769,2,0,0,NaN,-85.1289,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,25,5,5,25,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,25,DL_data,DL,7,7,not_applicable,63,25,5,5,25,21,0.0769230769230769,2,0,0,NaN,-80.1528,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,28,5,5,28,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,28,DL_data,DL,7,7,not_applicable,63,28,5,5,28,21,0.0769230769230769,2,0,0,NaN,-87.6621,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,30,5,5,30,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,30,DL_data,DL,7,7,not_applicable,63,30,5,5,30,21,0.0769230769230769,2,0,0,NaN,-86.1423,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,31,5,5,31,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,31,DL_data,DL,7,7,not_applicable,63,31,5,5,31,21,0.0769230769230769,2,0,0,NaN,-85.0304,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,36,5,5,36,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,36,DL_data,DL,7,7,not_applicable,63,36,5,5,36,21,0.0769230769230769,2,0,0,NaN,-58.0904,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,39,5,5,39,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,39,DL_data,DL,7,7,not_applicable,63,39,5,5,39,21,0.0769230769230769,2,0,0,NaN,-71.9681,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,46,5,5,46,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,46,DL_data,DL,7,7,not_applicable,63,46,5,5,46,21,0.0769230769230769,2,0,0,NaN,-86.5663,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,5,DL_data,DL,7,7,not_applicable,63,48,5,5,48,21,0.0769230769230769,2,2,1,46,NaN,active_tx,0.0005,318.975675103197,0.159487837551598,1544,2,0.00261538461538462,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,48,DL_data,DL,7,7,not_applicable,63,48,5,5,48,21,0.0769230769230769,2,0,0,NaN,-93.2075,active_rx,0.0005,1.5,0.00075,1544,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,26,1,1,26,27,0.0989010989010989,1,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,21504,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,26,DL_data,DL,8,8,not_applicable,73.5,26,1,1,26,27,0.0989010989010989,1,0,0,NaN,-88.8894,active_rx,0.0005,1.5,0.00075,21504,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,14,1,1,14,27,0.0989010989010989,1,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,8064,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,14,DL_data,DL,8,8,not_applicable,73.5,14,1,1,14,27,0.0989010989010989,1,0,0,NaN,-107.5467,active_rx,0.0005,1.5,0.00075,8064,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,3,1,1,3,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,0,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,FAIL
UE,ue,3,DL_data,DL,8,8,not_applicable,73.5,3,1,1,3,27,0.0989010989010989,2,0,0,NaN,-77.5756,active_rx,0.0005,1.5,0.00075,0,2,0,air_interface/csv/dl_pdsch_trials.csv,FAIL
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,5,1,1,5,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,5,DL_data,DL,8,8,not_applicable,73.5,5,1,1,5,27,0.0989010989010989,2,0,0,NaN,-96.4942,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,7,1,1,7,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
UE,ue,7,DL_data,DL,8,8,not_applicable,73.5,7,1,1,7,27,0.0989010989010989,2,0,0,NaN,-92.8605,active_rx,0.0005,1.5,0.00075,2024,2,0,air_interface/csv/dl_pdsch_trials.csv,PASS
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,9,1,1,9,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,0,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,FAIL
UE,ue,9,DL_data,DL,8,8,not_applicable,73.5,9,1,1,9,27,0.0989010989010989,2,0,0,NaN,-104.8529,active_rx,0.0005,1.5,0.00075,0,2,0,air_interface/csv/dl_pdsch_trials.csv,FAIL
gNB,cell,1,DL_data,DL,8,8,not_applicable,73.5,19,1,1,19,27,0.0989010989010989,2,2,1,46,NaN,active_tx,0.0005,319.327323454845,0.159663661727423,2024,2,0.00279120879120879,air_interface/csv/dl_pdsch_trials.csv,PASS
