AbsoluteSymbolIndex,Slot,SymbolInSlot,SymbolStartTime_s,SymbolDuration_s,ScheduledDLBits,ScheduledULBits,ScheduledTotalBits,GoodDLBits,GoodULBits,GoodTotalBits,DLThroughput_Mbps,ULThroughput_Mbps,TotalScheduledThroughput_Mbps,DLGoodput_Mbps,ULGoodput_Mbps,TotalGoodput_Mbps,DLGrantCount,ULGrantCount,TotalGrantCount,MaxDLMCS,MeanDLCQI,ValueSource,ValueRole,ValueStatus
53,3,11,0.00189285714285714,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
54,3,12,0.00192857142857143,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
55,3,13,0.00196428571428571,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
56,4,0,0.002,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
57,4,1,0.00203571428571429,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
58,4,2,0.00207142857142857,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
59,4,3,0.00210714285714286,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
60,4,4,0.00214285714285714,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
61,4,5,0.00217857142857143,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
62,4,6,0.00221428571428571,3.57142857142857e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,"configured_symbol_time_axis_no_grant","symbol_throughput_from_actual_grant_symbol_allocation","OK"
