TrialID,MonitoringOccasionID,SFN,Slot,FirstSymbol,CORESET0Index,SearchSpace0Index,AggregationLevel,CandidateIndex,FirstCCE,RNTI,DCIFormat,PayloadBits,CRCResult,Selected,Status
T000020,type0_sfn0_slot0_sym0,0,0,0,3,0,4,0,0,65535,1_0,44,1,1,PASS
T000020,type0_sfn0_slot0_sym0,0,0,0,3,0,4,1,4,65535,1_0,44,1,0,PASS
T000021,type0_sfn0_slot0_sym0,0,0,0,4,0,4,0,0,65535,1_0,44,1,1,PASS
T000021,type0_sfn0_slot0_sym0,0,0,0,4,0,4,1,4,65535,1_0,44,1,0,PASS
T000022,type0_sfn0_slot0_sym0,0,0,0,5,0,4,0,0,65535,1_0,44,1,1,PASS
T000022,type0_sfn0_slot0_sym0,0,0,0,5,0,4,1,4,65535,1_0,44,1,0,PASS
T000023,type0_sfn0_slot0_sym0,0,0,0,6,0,4,0,0,65535,1_0,44,1,1,PASS
T000023,type0_sfn0_slot0_sym0,0,0,0,6,0,4,1,4,65535,1_0,44,1,0,PASS
T000024,type0_sfn0_slot0_sym0,0,0,0,7,0,4,0,0,65535,1_0,44,1,1,PASS
T000024,type0_sfn0_slot0_sym0,0,0,0,7,0,4,1,4,65535,1_0,44,1,0,PASS
T000025,type0_sfn0_slot0_sym0,0,0,0,8,0,4,0,0,65535,1_0,44,1,1,PASS
T000025,type0_sfn0_slot0_sym0,0,0,0,8,0,4,1,4,65535,1_0,44,1,0,PASS
T000026,type0_sfn0_slot0_sym0,0,0,0,9,0,4,0,0,65535,1_0,44,1,1,PASS
T000026,type0_sfn0_slot0_sym0,0,0,0,9,0,4,1,4,65535,1_0,44,1,0,PASS
T000027,type0_sfn0_slot0_sym0,0,0,0,10,0,4,0,0,65535,1_0,44,1,1,PASS
T000027,type0_sfn0_slot0_sym0,0,0,0,10,0,4,1,4,65535,1_0,44,1,0,PASS
T000028,type0_sfn0_slot0_sym0,0,0,0,11,0,4,0,0,65535,1_0,44,1,1,PASS
T000028,type0_sfn0_slot0_sym0,0,0,0,11,0,4,1,4,65535,1_0,44,1,0,PASS
T000029,type0_sfn0_slot0_sym0,0,0,0,12,0,4,0,0,65535,1_0,44,1,1,PASS
T000029,type0_sfn0_slot0_sym0,0,0,0,12,0,4,1,4,65535,1_0,44,1,0,PASS
T000030,type0_sfn0_slot0_sym0,0,0,0,13,0,4,0,0,65535,1_0,44,1,1,PASS
T000030,type0_sfn0_slot0_sym0,0,0,0,13,0,4,1,8,65535,1_0,44,1,0,PASS
T000031,type0_sfn0_slot0_sym0,0,0,0,14,0,4,0,0,65535,1_0,44,1,1,PASS
T000031,type0_sfn0_slot0_sym0,0,0,0,14,0,4,1,12,65535,1_0,44,1,0,PASS
T000033,type0_sfn0_slot0_sym0,0,0,0,0,0,4,0,0,65535,1_0,44,1,1,PASS
T000033,type0_sfn0_slot0_sym0,0,0,0,0,0,4,1,4,65535,1_0,44,1,0,PASS
T000034,type0_sfn0_slot0_sym0,0,0,0,1,0,4,0,0,65535,1_0,44,1,1,PASS
T000034,type0_sfn0_slot0_sym0,0,0,0,1,0,4,1,4,65535,1_0,44,1,0,PASS
T000035,type0_sfn0_slot0_sym0,0,0,0,2,0,4,0,0,65535,1_0,44,1,1,PASS
T000035,type0_sfn0_slot0_sym0,0,0,0,2,0,4,1,4,65535,1_0,44,1,0,PASS
T000036,type0_sfn0_slot0_sym0,0,0,0,3,0,4,0,0,65535,1_0,44,1,1,PASS
T000036,type0_sfn0_slot0_sym0,0,0,0,3,0,4,1,4,65535,1_0,44,1,0,PASS
T000037,type0_sfn0_slot0_sym0,0,0,0,4,0,4,0,0,65535,1_0,44,1,1,PASS
T000037,type0_sfn0_slot0_sym0,0,0,0,4,0,4,1,8,65535,1_0,44,1,0,PASS
T000038,type0_sfn0_slot0_sym0,0,0,0,5,0,4,0,0,65535,1_0,44,1,1,PASS
T000038,type0_sfn0_slot0_sym0,0,0,0,5,0,4,1,8,65535,1_0,44,1,0,PASS
T000039,type0_sfn0_slot0_sym0,0,0,0,6,0,4,0,0,65535,1_0,44,1,1,PASS
T000039,type0_sfn0_slot0_sym0,0,0,0,6,0,4,1,8,65535,1_0,44,1,0,PASS
T000040,type0_sfn0_slot0_sym0,0,0,0,7,0,4,0,0,65535,1_0,44,1,1,PASS
T000040,type0_sfn0_slot0_sym0,0,0,0,7,0,4,1,8,65535,1_0,44,1,0,PASS
T000049,type0_sfn0_slot0_sym0,0,0,0,0,0,4,0,0,65535,1_0,44,1,1,PASS
T000049,type0_sfn0_slot0_sym0,0,0,0,0,0,4,1,4,65535,1_0,44,1,0,PASS
T000050,type0_sfn0_slot0_sym0,0,0,0,1,0,4,0,0,65535,1_0,44,1,1,PASS
T000050,type0_sfn0_slot0_sym0,0,0,0,1,0,4,1,4,65535,1_0,44,1,0,PASS
T000051,type0_sfn0_slot0_sym0,0,0,0,2,0,4,0,0,65535,1_0,44,1,1,PASS
T000051,type0_sfn0_slot0_sym0,0,0,0,2,0,4,1,4,65535,1_0,44,1,0,PASS
T000052,type0_sfn0_slot0_sym0,0,0,0,3,0,4,0,0,65535,1_0,44,1,1,PASS
T000052,type0_sfn0_slot0_sym0,0,0,0,3,0,4,1,4,65535,1_0,44,1,0,PASS
T000053,type0_sfn0_slot0_sym0,0,0,0,4,0,4,0,0,65535,1_0,44,1,1,PASS
T000053,type0_sfn0_slot0_sym0,0,0,0,4,0,4,1,4,65535,1_0,44,1,0,PASS
T000054,type0_sfn0_slot0_sym0,0,0,0,5,0,4,0,0,65535,1_0,44,1,1,PASS
T000054,type0_sfn0_slot0_sym0,0,0,0,5,0,4,1,4,65535,1_0,44,1,0,PASS
T000055,type0_sfn0_slot0_sym0,0,0,0,6,0,4,0,0,65535,1_0,44,1,1,PASS
T000055,type0_sfn0_slot0_sym0,0,0,0,6,0,4,1,4,65535,1_0,44,1,0,PASS
T000056,type0_sfn0_slot0_sym0,0,0,0,7,0,4,0,0,65535,1_0,44,1,1,PASS
T000056,type0_sfn0_slot0_sym0,0,0,0,7,0,4,1,4,65535,1_0,44,1,0,PASS
T000057,type0_sfn0_slot0_sym0,0,0,0,8,0,4,0,0,65535,1_0,44,1,1,PASS
T000057,type0_sfn0_slot0_sym0,0,0,0,8,0,4,1,4,65535,1_0,44,1,0,PASS
T000058,type0_sfn0_slot0_sym0,0,0,0,9,0,4,0,0,65535,1_0,44,1,1,PASS
T000058,type0_sfn0_slot0_sym0,0,0,0,9,0,4,1,4,65535,1_0,44,1,0,PASS
T000059,type0_sfn0_slot0_sym0,0,0,0,10,0,4,0,0,65535,1_0,44,1,1,PASS
T000059,type0_sfn0_slot0_sym0,0,0,0,10,0,4,1,4,65535,1_0,44,1,0,PASS
T000060,type0_sfn0_slot0_sym0,0,0,0,11,0,4,0,0,65535,1_0,44,1,1,PASS
T000060,type0_sfn0_slot0_sym0,0,0,0,11,0,4,1,4,65535,1_0,44,1,0,PASS
T000061,type0_sfn0_slot0_sym0,0,0,0,12,0,4,0,0,65535,1_0,44,1,1,PASS
T000061,type0_sfn0_slot0_sym0,0,0,0,12,0,4,1,4,65535,1_0,44,1,0,PASS
T000062,type0_sfn0_slot0_sym0,0,0,0,13,0,4,0,0,65535,1_0,44,1,1,PASS
T000062,type0_sfn0_slot0_sym0,0,0,0,13,0,4,1,4,65535,1_0,44,1,0,PASS
T000065,type0_sfn0_slot0_sym0,0,0,0,0,0,4,0,0,65535,1_0,44,1,1,PASS
T000065,type0_sfn0_slot0_sym0,0,0,0,0,0,4,1,4,65535,1_0,44,1,0,PASS
T000001,type0_sfn0_slot0_sym0_repeat1,0,0,0,0,0,4,1000,0,65535,1_0,44,1,0,PASS
T000002,type0_sfn0_slot0_sym0_repeat2,0,0,0,1,0,4,1000,0,65535,1_0,44,1,0,PASS
