CaseID,SSBIndex0,Symbol0,Subcarrier0,Owner,LogicalPort,SequenceIndex,ExpectedOwner,Mismatch,Status
SSBRE-v1,0,0,68,PSS,0,68,PSS,0,PASS
SSBRE-v1,0,0,69,PSS,0,69,PSS,0,PASS
SSBRE-v1,0,0,70,PSS,0,70,PSS,0,PASS
SSBRE-v1,0,0,71,PSS,0,71,PSS,0,PASS
SSBRE-v1,0,0,72,PSS,0,72,PSS,0,PASS
SSBRE-v1,0,0,73,PSS,0,73,PSS,0,PASS
SSBRE-v1,0,0,74,PSS,0,74,PSS,0,PASS
SSBRE-v1,0,0,75,PSS,0,75,PSS,0,PASS
SSBRE-v1,0,0,76,PSS,0,76,PSS,0,PASS
SSBRE-v1,0,0,77,PSS,0,77,PSS,0,PASS
SSBRE-v1,0,0,78,PSS,0,78,PSS,0,PASS
SSBRE-v1,0,0,79,PSS,0,79,PSS,0,PASS
SSBRE-v1,0,0,80,PSS,0,80,PSS,0,PASS
SSBRE-v1,0,0,81,PSS,0,81,PSS,0,PASS
SSBRE-v1,0,0,82,PSS,0,82,PSS,0,PASS
SSBRE-v1,0,0,83,PSS,0,83,PSS,0,PASS
SSBRE-v1,0,0,84,PSS,0,84,PSS,0,PASS
SSBRE-v1,0,0,85,PSS,0,85,PSS,0,PASS
SSBRE-v1,0,0,86,PSS,0,86,PSS,0,PASS
SSBRE-v1,0,0,87,PSS,0,87,PSS,0,PASS
SSBRE-v1,0,0,88,PSS,0,88,PSS,0,PASS
SSBRE-v1,0,0,89,PSS,0,89,PSS,0,PASS
SSBRE-v1,0,0,90,PSS,0,90,PSS,0,PASS
SSBRE-v1,0,0,91,PSS,0,91,PSS,0,PASS
SSBRE-v1,0,0,92,PSS,0,92,PSS,0,PASS
SSBRE-v1,0,0,93,PSS,0,93,PSS,0,PASS
SSBRE-v1,0,0,94,PSS,0,94,PSS,0,PASS
SSBRE-v1,0,0,95,PSS,0,95,PSS,0,PASS
SSBRE-v1,0,0,96,PSS,0,96,PSS,0,PASS
SSBRE-v1,0,0,97,PSS,0,97,PSS,0,PASS
SSBRE-v1,0,0,98,PSS,0,98,PSS,0,PASS
SSBRE-v1,0,0,99,PSS,0,99,PSS,0,PASS
SSBRE-v1,0,0,100,PSS,0,100,PSS,0,PASS
SSBRE-v1,0,0,101,PSS,0,101,PSS,0,PASS
SSBRE-v1,0,0,102,PSS,0,102,PSS,0,PASS
SSBRE-v1,0,0,103,PSS,0,103,PSS,0,PASS
SSBRE-v1,0,0,104,PSS,0,104,PSS,0,PASS
SSBRE-v1,0,0,105,PSS,0,105,PSS,0,PASS
SSBRE-v1,0,0,106,PSS,0,106,PSS,0,PASS
SSBRE-v1,0,0,107,PSS,0,107,PSS,0,PASS
SSBRE-v1,0,0,108,PSS,0,108,PSS,0,PASS
SSBRE-v1,0,0,109,PSS,0,109,PSS,0,PASS
SSBRE-v1,0,0,110,PSS,0,110,PSS,0,PASS
SSBRE-v1,0,0,111,PSS,0,111,PSS,0,PASS
SSBRE-v1,0,0,112,PSS,0,112,PSS,0,PASS
SSBRE-v1,0,0,113,PSS,0,113,PSS,0,PASS
SSBRE-v1,0,0,114,PSS,0,114,PSS,0,PASS
SSBRE-v1,0,0,115,PSS,0,115,PSS,0,PASS
SSBRE-v1,0,0,116,PSS,0,116,PSS,0,PASS
SSBRE-v1,0,0,117,PSS,0,117,PSS,0,PASS
SSBRE-v1,0,0,118,PSS,0,118,PSS,0,PASS
SSBRE-v1,0,0,119,PSS,0,119,PSS,0,PASS
SSBRE-v1,0,0,120,PSS,0,120,PSS,0,PASS
SSBRE-v1,0,0,121,PSS,0,121,PSS,0,PASS
SSBRE-v1,0,0,122,PSS,0,122,PSS,0,PASS
SSBRE-v1,0,0,123,PSS,0,123,PSS,0,PASS
SSBRE-v1,0,0,124,PSS,0,124,PSS,0,PASS
SSBRE-v1,0,0,125,PSS,0,125,PSS,0,PASS
SSBRE-v1,0,0,126,PSS,0,126,PSS,0,PASS
SSBRE-v1,0,0,127,PSS,0,127,PSS,0,PASS
SSBRE-v1,0,0,128,PSS,0,128,PSS,0,PASS
SSBRE-v1,0,0,129,PSS,0,129,PSS,0,PASS
SSBRE-v1,0,0,130,PSS,0,130,PSS,0,PASS
SSBRE-v1,0,0,131,PSS,0,131,PSS,0,PASS
SSBRE-v1,0,0,132,PSS,0,132,PSS,0,PASS
SSBRE-v1,0,0,133,PSS,0,133,PSS,0,PASS
SSBRE-v1,0,0,134,PSS,0,134,PSS,0,PASS
SSBRE-v1,0,0,135,PSS,0,135,PSS,0,PASS
SSBRE-v1,0,0,136,PSS,0,136,PSS,0,PASS
SSBRE-v1,0,0,137,PSS,0,137,PSS,0,PASS
SSBRE-v1,0,0,138,PSS,0,138,PSS,0,PASS
SSBRE-v1,0,0,139,PSS,0,139,PSS,0,PASS
SSBRE-v1,0,0,140,PSS,0,140,PSS,0,PASS
SSBRE-v1,0,0,141,PSS,0,141,PSS,0,PASS
SSBRE-v1,0,0,142,PSS,0,142,PSS,0,PASS
SSBRE-v1,0,0,143,PSS,0,143,PSS,0,PASS
SSBRE-v1,0,0,144,PSS,0,144,PSS,0,PASS
SSBRE-v1,0,0,145,PSS,0,145,PSS,0,PASS
SSBRE-v1,0,0,146,PSS,0,146,PSS,0,PASS
SSBRE-v1,0,0,147,PSS,0,147,PSS,0,PASS
SSBRE-v1,0,0,148,PSS,0,148,PSS,0,PASS
SSBRE-v1,0,0,149,PSS,0,149,PSS,0,PASS
SSBRE-v1,0,0,150,PSS,0,150,PSS,0,PASS
SSBRE-v1,0,0,151,PSS,0,151,PSS,0,PASS
SSBRE-v1,0,0,152,PSS,0,152,PSS,0,PASS
SSBRE-v1,0,0,153,PSS,0,153,PSS,0,PASS
SSBRE-v1,0,0,154,PSS,0,154,PSS,0,PASS
SSBRE-v1,0,0,155,PSS,0,155,PSS,0,PASS
SSBRE-v1,0,0,156,PSS,0,156,PSS,0,PASS
SSBRE-v1,0,0,157,PSS,0,157,PSS,0,PASS
SSBRE-v1,0,0,158,PSS,0,158,PSS,0,PASS
SSBRE-v1,0,0,159,PSS,0,159,PSS,0,PASS
SSBRE-v1,0,0,160,PSS,0,160,PSS,0,PASS
SSBRE-v1,0,0,161,PSS,0,161,PSS,0,PASS
SSBRE-v1,0,0,162,PSS,0,162,PSS,0,PASS
SSBRE-v1,0,0,163,PSS,0,163,PSS,0,PASS
SSBRE-v1,0,0,164,PSS,0,164,PSS,0,PASS
SSBRE-v1,0,0,165,PSS,0,165,PSS,0,PASS
SSBRE-v1,0,0,166,PSS,0,166,PSS,0,PASS
SSBRE-v1,0,0,167,PSS,0,167,PSS,0,PASS
SSBRE-v1,0,0,168,PSS,0,168,PSS,0,PASS
SSBRE-v1,0,0,169,PSS,0,169,PSS,0,PASS
SSBRE-v1,0,0,170,PSS,0,170,PSS,0,PASS
SSBRE-v1,0,0,171,PSS,0,171,PSS,0,PASS
SSBRE-v1,0,0,172,PSS,0,172,PSS,0,PASS
SSBRE-v1,0,0,173,PSS,0,173,PSS,0,PASS
SSBRE-v1,0,0,174,PSS,0,174,PSS,0,PASS
SSBRE-v1,0,0,175,PSS,0,175,PSS,0,PASS
SSBRE-v1,0,0,176,PSS,0,176,PSS,0,PASS
SSBRE-v1,0,0,177,PSS,0,177,PSS,0,PASS
SSBRE-v1,0,0,178,PSS,0,178,PSS,0,PASS
SSBRE-v1,0,0,179,PSS,0,179,PSS,0,PASS
SSBRE-v1,0,0,180,PSS,0,180,PSS,0,PASS
SSBRE-v1,0,0,181,PSS,0,181,PSS,0,PASS
SSBRE-v1,0,0,182,PSS,0,182,PSS,0,PASS
SSBRE-v1,0,0,183,ZERO,0,183,ZERO,0,PASS
SSBRE-v1,0,0,184,ZERO,0,184,ZERO,0,PASS
SSBRE-v1,0,0,185,ZERO,0,185,ZERO,0,PASS
SSBRE-v1,0,0,186,ZERO,0,186,ZERO,0,PASS
SSBRE-v1,0,0,187,ZERO,0,187,ZERO,0,PASS
SSBRE-v1,0,0,188,ZERO,0,188,ZERO,0,PASS
SSBRE-v1,0,0,189,ZERO,0,189,ZERO,0,PASS
SSBRE-v1,0,0,190,ZERO,0,190,ZERO,0,PASS
SSBRE-v1,0,0,191,ZERO,0,191,ZERO,0,PASS
SSBRE-v1,0,0,192,ZERO,0,192,ZERO,0,PASS
SSBRE-v1,0,0,193,ZERO,0,193,ZERO,0,PASS
SSBRE-v1,0,0,194,ZERO,0,194,ZERO,0,PASS
SSBRE-v1,0,0,195,ZERO,0,195,ZERO,0,PASS
SSBRE-v1,0,0,196,ZERO,0,196,ZERO,0,PASS
SSBRE-v1,0,0,197,ZERO,0,197,ZERO,0,PASS
SSBRE-v1,0,0,198,ZERO,0,198,ZERO,0,PASS
SSBRE-v1,0,0,199,ZERO,0,199,ZERO,0,PASS
SSBRE-v1,0,0,200,ZERO,0,200,ZERO,0,PASS
SSBRE-v1,0,0,201,ZERO,0,201,ZERO,0,PASS
SSBRE-v1,0,0,202,ZERO,0,202,ZERO,0,PASS
SSBRE-v1,0,0,203,ZERO,0,203,ZERO,0,PASS
SSBRE-v1,0,0,204,ZERO,0,204,ZERO,0,PASS
SSBRE-v1,0,0,205,ZERO,0,205,ZERO,0,PASS
SSBRE-v1,0,0,206,ZERO,0,206,ZERO,0,PASS
SSBRE-v1,0,0,207,ZERO,0,207,ZERO,0,PASS
SSBRE-v1,0,0,208,ZERO,0,208,ZERO,0,PASS
SSBRE-v1,0,0,209,ZERO,0,209,ZERO,0,PASS
SSBRE-v1,0,0,210,ZERO,0,210,ZERO,0,PASS
SSBRE-v1,0,0,211,ZERO,0,211,ZERO,0,PASS
SSBRE-v1,0,0,212,ZERO,0,212,ZERO,0,PASS
SSBRE-v1,0,0,213,ZERO,0,213,ZERO,0,PASS
SSBRE-v1,0,0,214,ZERO,0,214,ZERO,0,PASS
SSBRE-v1,0,0,215,ZERO,0,215,ZERO,0,PASS
SSBRE-v1,0,0,216,ZERO,0,216,ZERO,0,PASS
SSBRE-v1,0,0,217,ZERO,0,217,ZERO,0,PASS
SSBRE-v1,0,0,218,ZERO,0,218,ZERO,0,PASS
SSBRE-v1,0,0,219,ZERO,0,219,ZERO,0,PASS
SSBRE-v1,0,0,220,ZERO,0,220,ZERO,0,PASS
SSBRE-v1,0,0,221,ZERO,0,221,ZERO,0,PASS
SSBRE-v1,0,0,222,ZERO,0,222,ZERO,0,PASS
SSBRE-v1,0,0,223,ZERO,0,223,ZERO,0,PASS
SSBRE-v1,0,0,224,ZERO,0,224,ZERO,0,PASS
SSBRE-v1,0,0,225,ZERO,0,225,ZERO,0,PASS
SSBRE-v1,0,0,226,ZERO,0,226,ZERO,0,PASS
SSBRE-v1,0,0,227,ZERO,0,227,ZERO,0,PASS
SSBRE-v1,0,0,228,ZERO,0,228,ZERO,0,PASS
SSBRE-v1,0,0,229,ZERO,0,229,ZERO,0,PASS
SSBRE-v1,0,0,230,ZERO,0,230,ZERO,0,PASS
SSBRE-v1,0,0,231,ZERO,0,231,ZERO,0,PASS
SSBRE-v1,0,0,232,ZERO,0,232,ZERO,0,PASS
SSBRE-v1,0,0,233,ZERO,0,233,ZERO,0,PASS
SSBRE-v1,0,0,234,ZERO,0,234,ZERO,0,PASS
SSBRE-v1,0,0,235,ZERO,0,235,ZERO,0,PASS
SSBRE-v1,0,0,236,ZERO,0,236,ZERO,0,PASS
SSBRE-v1,0,0,237,ZERO,0,237,ZERO,0,PASS
SSBRE-v1,0,0,238,ZERO,0,238,ZERO,0,PASS
SSBRE-v1,0,0,239,ZERO,0,239,ZERO,0,PASS
SSBRE-v1,0,1,0,PBCH,0,240,PBCH,0,PASS
SSBRE-v1,0,1,1,PBCH_DMRS,0,241,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,2,PBCH,0,242,PBCH,0,PASS
SSBRE-v1,0,1,3,PBCH,0,243,PBCH,0,PASS
SSBRE-v1,0,1,4,PBCH,0,244,PBCH,0,PASS
SSBRE-v1,0,1,5,PBCH_DMRS,0,245,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,6,PBCH,0,246,PBCH,0,PASS
SSBRE-v1,0,1,7,PBCH,0,247,PBCH,0,PASS
SSBRE-v1,0,1,8,PBCH,0,248,PBCH,0,PASS
SSBRE-v1,0,1,9,PBCH_DMRS,0,249,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,10,PBCH,0,250,PBCH,0,PASS
SSBRE-v1,0,1,11,PBCH,0,251,PBCH,0,PASS
SSBRE-v1,0,1,12,PBCH,0,252,PBCH,0,PASS
SSBRE-v1,0,1,13,PBCH_DMRS,0,253,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,14,PBCH,0,254,PBCH,0,PASS
SSBRE-v1,0,1,15,PBCH,0,255,PBCH,0,PASS
SSBRE-v1,0,1,16,PBCH,0,256,PBCH,0,PASS
SSBRE-v1,0,1,17,PBCH_DMRS,0,257,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,18,PBCH,0,258,PBCH,0,PASS
SSBRE-v1,0,1,19,PBCH,0,259,PBCH,0,PASS
SSBRE-v1,0,1,20,PBCH,0,260,PBCH,0,PASS
SSBRE-v1,0,1,21,PBCH_DMRS,0,261,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,22,PBCH,0,262,PBCH,0,PASS
SSBRE-v1,0,1,23,PBCH,0,263,PBCH,0,PASS
SSBRE-v1,0,1,24,PBCH,0,264,PBCH,0,PASS
SSBRE-v1,0,1,25,PBCH_DMRS,0,265,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,26,PBCH,0,266,PBCH,0,PASS
SSBRE-v1,0,1,27,PBCH,0,267,PBCH,0,PASS
SSBRE-v1,0,1,28,PBCH,0,268,PBCH,0,PASS
SSBRE-v1,0,1,29,PBCH_DMRS,0,269,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,30,PBCH,0,270,PBCH,0,PASS
SSBRE-v1,0,1,31,PBCH,0,271,PBCH,0,PASS
SSBRE-v1,0,1,32,PBCH,0,272,PBCH,0,PASS
SSBRE-v1,0,1,33,PBCH_DMRS,0,273,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,34,PBCH,0,274,PBCH,0,PASS
SSBRE-v1,0,1,35,PBCH,0,275,PBCH,0,PASS
SSBRE-v1,0,1,36,PBCH,0,276,PBCH,0,PASS
SSBRE-v1,0,1,37,PBCH_DMRS,0,277,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,38,PBCH,0,278,PBCH,0,PASS
SSBRE-v1,0,1,39,PBCH,0,279,PBCH,0,PASS
SSBRE-v1,0,1,40,PBCH,0,280,PBCH,0,PASS
SSBRE-v1,0,1,41,PBCH_DMRS,0,281,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,42,PBCH,0,282,PBCH,0,PASS
SSBRE-v1,0,1,43,PBCH,0,283,PBCH,0,PASS
SSBRE-v1,0,1,44,PBCH,0,284,PBCH,0,PASS
SSBRE-v1,0,1,45,PBCH_DMRS,0,285,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,46,PBCH,0,286,PBCH,0,PASS
SSBRE-v1,0,1,47,PBCH,0,287,PBCH,0,PASS
SSBRE-v1,0,1,48,PBCH,0,288,PBCH,0,PASS
SSBRE-v1,0,1,49,PBCH_DMRS,0,289,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,50,PBCH,0,290,PBCH,0,PASS
SSBRE-v1,0,1,51,PBCH,0,291,PBCH,0,PASS
SSBRE-v1,0,1,52,PBCH,0,292,PBCH,0,PASS
SSBRE-v1,0,1,53,PBCH_DMRS,0,293,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,54,PBCH,0,294,PBCH,0,PASS
SSBRE-v1,0,1,55,PBCH,0,295,PBCH,0,PASS
SSBRE-v1,0,1,56,PBCH,0,296,PBCH,0,PASS
SSBRE-v1,0,1,57,PBCH_DMRS,0,297,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,58,PBCH,0,298,PBCH,0,PASS
SSBRE-v1,0,1,59,PBCH,0,299,PBCH,0,PASS
SSBRE-v1,0,1,60,PBCH,0,300,PBCH,0,PASS
SSBRE-v1,0,1,61,PBCH_DMRS,0,301,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,62,PBCH,0,302,PBCH,0,PASS
SSBRE-v1,0,1,63,PBCH,0,303,PBCH,0,PASS
SSBRE-v1,0,1,64,PBCH,0,304,PBCH,0,PASS
SSBRE-v1,0,1,65,PBCH_DMRS,0,305,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,66,PBCH,0,306,PBCH,0,PASS
SSBRE-v1,0,1,67,PBCH,0,307,PBCH,0,PASS
SSBRE-v1,0,1,68,PBCH,0,308,PBCH,0,PASS
SSBRE-v1,0,1,69,PBCH_DMRS,0,309,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,70,PBCH,0,310,PBCH,0,PASS
SSBRE-v1,0,1,71,PBCH,0,311,PBCH,0,PASS
SSBRE-v1,0,1,72,PBCH,0,312,PBCH,0,PASS
SSBRE-v1,0,1,73,PBCH_DMRS,0,313,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,74,PBCH,0,314,PBCH,0,PASS
SSBRE-v1,0,1,75,PBCH,0,315,PBCH,0,PASS
SSBRE-v1,0,1,76,PBCH,0,316,PBCH,0,PASS
SSBRE-v1,0,1,77,PBCH_DMRS,0,317,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,78,PBCH,0,318,PBCH,0,PASS
SSBRE-v1,0,1,79,PBCH,0,319,PBCH,0,PASS
SSBRE-v1,0,1,80,PBCH,0,320,PBCH,0,PASS
SSBRE-v1,0,1,81,PBCH_DMRS,0,321,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,82,PBCH,0,322,PBCH,0,PASS
SSBRE-v1,0,1,83,PBCH,0,323,PBCH,0,PASS
SSBRE-v1,0,1,84,PBCH,0,324,PBCH,0,PASS
SSBRE-v1,0,1,85,PBCH_DMRS,0,325,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,86,PBCH,0,326,PBCH,0,PASS
SSBRE-v1,0,1,87,PBCH,0,327,PBCH,0,PASS
SSBRE-v1,0,1,88,PBCH,0,328,PBCH,0,PASS
SSBRE-v1,0,1,89,PBCH_DMRS,0,329,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,90,PBCH,0,330,PBCH,0,PASS
SSBRE-v1,0,1,91,PBCH,0,331,PBCH,0,PASS
SSBRE-v1,0,1,92,PBCH,0,332,PBCH,0,PASS
SSBRE-v1,0,1,93,PBCH_DMRS,0,333,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,94,PBCH,0,334,PBCH,0,PASS
SSBRE-v1,0,1,95,PBCH,0,335,PBCH,0,PASS
SSBRE-v1,0,1,96,PBCH,0,336,PBCH,0,PASS
SSBRE-v1,0,1,97,PBCH_DMRS,0,337,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,98,PBCH,0,338,PBCH,0,PASS
SSBRE-v1,0,1,99,PBCH,0,339,PBCH,0,PASS
SSBRE-v1,0,1,100,PBCH,0,340,PBCH,0,PASS
SSBRE-v1,0,1,101,PBCH_DMRS,0,341,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,102,PBCH,0,342,PBCH,0,PASS
SSBRE-v1,0,1,103,PBCH,0,343,PBCH,0,PASS
SSBRE-v1,0,1,104,PBCH,0,344,PBCH,0,PASS
SSBRE-v1,0,1,105,PBCH_DMRS,0,345,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,106,PBCH,0,346,PBCH,0,PASS
SSBRE-v1,0,1,107,PBCH,0,347,PBCH,0,PASS
SSBRE-v1,0,1,108,PBCH,0,348,PBCH,0,PASS
SSBRE-v1,0,1,109,PBCH_DMRS,0,349,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,110,PBCH,0,350,PBCH,0,PASS
SSBRE-v1,0,1,111,PBCH,0,351,PBCH,0,PASS
SSBRE-v1,0,1,112,PBCH,0,352,PBCH,0,PASS
SSBRE-v1,0,1,113,PBCH_DMRS,0,353,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,114,PBCH,0,354,PBCH,0,PASS
SSBRE-v1,0,1,115,PBCH,0,355,PBCH,0,PASS
SSBRE-v1,0,1,116,PBCH,0,356,PBCH,0,PASS
SSBRE-v1,0,1,117,PBCH_DMRS,0,357,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,118,PBCH,0,358,PBCH,0,PASS
SSBRE-v1,0,1,119,PBCH,0,359,PBCH,0,PASS
SSBRE-v1,0,1,120,PBCH,0,360,PBCH,0,PASS
SSBRE-v1,0,1,121,PBCH_DMRS,0,361,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,122,PBCH,0,362,PBCH,0,PASS
SSBRE-v1,0,1,123,PBCH,0,363,PBCH,0,PASS
SSBRE-v1,0,1,124,PBCH,0,364,PBCH,0,PASS
SSBRE-v1,0,1,125,PBCH_DMRS,0,365,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,126,PBCH,0,366,PBCH,0,PASS
SSBRE-v1,0,1,127,PBCH,0,367,PBCH,0,PASS
SSBRE-v1,0,1,128,PBCH,0,368,PBCH,0,PASS
SSBRE-v1,0,1,129,PBCH_DMRS,0,369,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,130,PBCH,0,370,PBCH,0,PASS
SSBRE-v1,0,1,131,PBCH,0,371,PBCH,0,PASS
SSBRE-v1,0,1,132,PBCH,0,372,PBCH,0,PASS
SSBRE-v1,0,1,133,PBCH_DMRS,0,373,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,134,PBCH,0,374,PBCH,0,PASS
SSBRE-v1,0,1,135,PBCH,0,375,PBCH,0,PASS
SSBRE-v1,0,1,136,PBCH,0,376,PBCH,0,PASS
SSBRE-v1,0,1,137,PBCH_DMRS,0,377,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,138,PBCH,0,378,PBCH,0,PASS
SSBRE-v1,0,1,139,PBCH,0,379,PBCH,0,PASS
SSBRE-v1,0,1,140,PBCH,0,380,PBCH,0,PASS
SSBRE-v1,0,1,141,PBCH_DMRS,0,381,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,142,PBCH,0,382,PBCH,0,PASS
SSBRE-v1,0,1,143,PBCH,0,383,PBCH,0,PASS
SSBRE-v1,0,1,144,PBCH,0,384,PBCH,0,PASS
SSBRE-v1,0,1,145,PBCH_DMRS,0,385,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,146,PBCH,0,386,PBCH,0,PASS
SSBRE-v1,0,1,147,PBCH,0,387,PBCH,0,PASS
SSBRE-v1,0,1,148,PBCH,0,388,PBCH,0,PASS
SSBRE-v1,0,1,149,PBCH_DMRS,0,389,PBCH_DMRS,0,PASS
SSBRE-v1,0,1,150,PBCH,0,390,PBCH,0,PASS
SSBRE-v1,0,1,151,PBCH,0,391,PBCH,0,PASS
