OccasionID,ConfigurationCaseID,AbsoluteFrame,AbsoluteSubframe,AbsoluteSlot,StartingSymbol,TimeOccasionIndex,FrequencyOccasionIndex,FrequencyStartRB,DurationSymbols,RARNTI,ActiveULBWPID,Valid,Mismatch,Status
RO-0025,PRACH-RUNTIME-16,12,121,242,0,0,0,0,28,29,0,1,0,PASS
RO-0026,PRACH-RUNTIME-16,12,126,252,0,0,0,0,28,169,0,1,0,PASS
RO-0027,PRACH-RUNTIME-16,13,131,262,0,0,0,0,28,29,0,1,0,PASS
RO-0028,PRACH-RUNTIME-16,13,136,272,0,0,0,0,28,169,0,1,0,PASS
RO-0029,PRACH-RUNTIME-16,14,141,282,0,0,0,0,28,29,0,1,0,PASS
RO-0030,PRACH-RUNTIME-16,14,146,292,0,0,0,0,28,169,0,1,0,PASS
RO-0031,PRACH-RUNTIME-16,15,151,302,0,0,0,0,28,29,0,1,0,PASS
RO-0032,PRACH-RUNTIME-16,15,156,312,0,0,0,0,28,169,0,1,0,PASS
RO-0033,PRACH-RUNTIME-16,16,161,322,0,0,0,0,28,29,0,1,0,PASS
RO-0034,PRACH-RUNTIME-16,16,166,332,0,0,0,0,28,169,0,1,0,PASS
RO-0035,PRACH-RUNTIME-16,17,171,342,0,0,0,0,28,29,0,1,0,PASS
RO-0036,PRACH-RUNTIME-16,17,176,352,0,0,0,0,28,169,0,1,0,PASS
RO-0037,PRACH-RUNTIME-16,18,181,362,0,0,0,0,28,29,0,1,0,PASS
RO-0038,PRACH-RUNTIME-16,18,186,372,0,0,0,0,28,169,0,1,0,PASS
RO-0039,PRACH-RUNTIME-16,19,191,382,0,0,0,0,28,29,0,1,0,PASS
RO-0040,PRACH-RUNTIME-16,19,196,392,0,0,0,0,28,169,0,1,0,PASS
RO-0041,PRACH-RUNTIME-16,20,201,402,0,0,0,0,28,29,0,1,0,PASS
RO-0042,PRACH-RUNTIME-16,20,206,412,0,0,0,0,28,169,0,1,0,PASS
RO-0043,PRACH-RUNTIME-16,21,211,422,0,0,0,0,28,29,0,1,0,PASS
RO-0044,PRACH-RUNTIME-16,21,216,432,0,0,0,0,28,169,0,1,0,PASS
RO-0045,PRACH-RUNTIME-16,22,221,442,0,0,0,0,28,29,0,1,0,PASS
RO-0046,PRACH-RUNTIME-16,22,226,452,0,0,0,0,28,169,0,1,0,PASS
RO-0047,PRACH-RUNTIME-16,23,231,462,0,0,0,0,28,29,0,1,0,PASS
RO-0048,PRACH-RUNTIME-16,23,236,472,0,0,0,0,28,169,0,1,0,PASS
RO-0049,PRACH-RUNTIME-16,24,241,482,0,0,0,0,28,29,0,1,0,PASS
RO-0050,PRACH-RUNTIME-16,24,246,492,0,0,0,0,28,169,0,1,0,PASS
RO-0051,PRACH-RUNTIME-16,25,251,502,0,0,0,0,28,29,0,1,0,PASS
RO-0052,PRACH-RUNTIME-16,25,256,512,0,0,0,0,28,169,0,1,0,PASS
RO-0053,PRACH-RUNTIME-16,26,261,522,0,0,0,0,28,29,0,1,0,PASS
RO-0054,PRACH-RUNTIME-16,26,266,532,0,0,0,0,28,169,0,1,0,PASS
RO-0055,PRACH-RUNTIME-16,27,271,542,0,0,0,0,28,29,0,1,0,PASS
RO-0056,PRACH-RUNTIME-16,27,276,552,0,0,0,0,28,169,0,1,0,PASS
RO-0057,PRACH-RUNTIME-16,28,281,562,0,0,0,0,28,29,0,1,0,PASS
RO-0058,PRACH-RUNTIME-16,28,286,572,0,0,0,0,28,169,0,1,0,PASS
RO-0059,PRACH-RUNTIME-16,29,291,582,0,0,0,0,28,29,0,1,0,PASS
RO-0060,PRACH-RUNTIME-16,29,296,592,0,0,0,0,28,169,0,1,0,PASS
RO-0061,PRACH-RUNTIME-16,30,301,602,0,0,0,0,28,29,0,1,0,PASS
RO-0062,PRACH-RUNTIME-16,30,306,612,0,0,0,0,28,169,0,1,0,PASS
RO-0063,PRACH-RUNTIME-16,31,311,622,0,0,0,0,28,29,0,1,0,PASS
RO-0064,PRACH-RUNTIME-16,31,316,632,0,0,0,0,28,169,0,1,0,PASS
RO-0065,PRACH-RUNTIME-16,32,321,642,0,0,0,0,28,29,0,1,0,PASS
RO-0066,PRACH-RUNTIME-16,32,326,652,0,0,0,0,28,169,0,1,0,PASS
RO-0067,PRACH-RUNTIME-16,33,331,662,0,0,0,0,28,29,0,1,0,PASS
RO-0068,PRACH-RUNTIME-16,33,336,672,0,0,0,0,28,169,0,1,0,PASS
RO-0069,PRACH-RUNTIME-16,34,341,682,0,0,0,0,28,29,0,1,0,PASS
RO-0070,PRACH-RUNTIME-16,34,346,692,0,0,0,0,28,169,0,1,0,PASS
RO-0071,PRACH-RUNTIME-16,35,351,702,0,0,0,0,28,29,0,1,0,PASS
RO-0072,PRACH-RUNTIME-16,35,356,712,0,0,0,0,28,169,0,1,0,PASS
RO-0073,PRACH-RUNTIME-16,36,361,722,0,0,0,0,28,29,0,1,0,PASS
RO-0074,PRACH-RUNTIME-16,36,366,732,0,0,0,0,28,169,0,1,0,PASS
RO-0075,PRACH-RUNTIME-16,37,371,742,0,0,0,0,28,29,0,1,0,PASS
RO-0076,PRACH-RUNTIME-16,37,376,752,0,0,0,0,28,169,0,1,0,PASS
RO-0077,PRACH-RUNTIME-16,38,381,762,0,0,0,0,28,29,0,1,0,PASS
RO-0078,PRACH-RUNTIME-16,38,386,772,0,0,0,0,28,169,0,1,0,PASS
RO-0079,PRACH-RUNTIME-16,39,391,782,0,0,0,0,28,29,0,1,0,PASS
RO-0080,PRACH-RUNTIME-16,39,396,792,0,0,0,0,28,169,0,1,0,PASS
RO-0081,PRACH-RUNTIME-16,40,401,802,0,0,0,0,28,29,0,1,0,PASS
RO-0082,PRACH-RUNTIME-16,40,406,812,0,0,0,0,28,169,0,1,0,PASS
RO-0083,PRACH-RUNTIME-16,41,411,822,0,0,0,0,28,29,0,1,0,PASS
RO-0084,PRACH-RUNTIME-16,41,416,832,0,0,0,0,28,169,0,1,0,PASS
RO-0085,PRACH-RUNTIME-16,42,421,842,0,0,0,0,28,29,0,1,0,PASS
RO-0086,PRACH-RUNTIME-16,42,426,852,0,0,0,0,28,169,0,1,0,PASS
RO-0087,PRACH-RUNTIME-16,43,431,862,0,0,0,0,28,29,0,1,0,PASS
RO-0088,PRACH-RUNTIME-16,43,436,872,0,0,0,0,28,169,0,1,0,PASS
RO-0089,PRACH-RUNTIME-16,44,441,882,0,0,0,0,28,29,0,1,0,PASS
RO-0090,PRACH-RUNTIME-16,44,446,892,0,0,0,0,28,169,0,1,0,PASS
RO-0091,PRACH-RUNTIME-16,45,451,902,0,0,0,0,28,29,0,1,0,PASS
RO-0092,PRACH-RUNTIME-16,45,456,912,0,0,0,0,28,169,0,1,0,PASS
RO-0093,PRACH-RUNTIME-16,46,461,922,0,0,0,0,28,29,0,1,0,PASS
RO-0094,PRACH-RUNTIME-16,46,466,932,0,0,0,0,28,169,0,1,0,PASS
RO-0095,PRACH-RUNTIME-16,47,471,942,0,0,0,0,28,29,0,1,0,PASS
RO-0096,PRACH-RUNTIME-16,47,476,952,0,0,0,0,28,169,0,1,0,PASS
RO-0097,PRACH-RUNTIME-16,48,481,962,0,0,0,0,28,29,0,1,0,PASS
RO-0098,PRACH-RUNTIME-16,48,486,972,0,0,0,0,28,169,0,1,0,PASS
RO-0099,PRACH-RUNTIME-16,49,491,982,0,0,0,0,28,29,0,1,0,PASS
RO-0100,PRACH-RUNTIME-16,49,496,992,0,0,0,0,28,169,0,1,0,PASS
