AttemptID,UEID,EventOrdinal,PreviousState,Event,NextState,AbsoluteFrame,AbsoluteSlot,OccasionID,RNTI,PreambleIndex,DecodedEvidenceID,FailureReason,Status
RA-WAVE-012,UE-12,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-012,UE-12,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,2a9f21b100c6bb787826622b8212b28640b5fbb16f73bab2cdfb566977dabfab,,PASS
RA-WAVE-012,UE-12,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,2a9f21b100c6bb787826622b8212b28640b5fbb16f73bab2cdfb566977dabfab,,PASS
RA-WAVE-012,UE-12,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-012,UE-12,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-012,UE-12,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,4f4e186ad6523cfe501eea33d65b3adb608569c0bcbe15373d9109a1cbf1b543,,PASS
RA-WAVE-012,UE-12,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,4f4e186ad6523cfe501eea33d65b3adb608569c0bcbe15373d9109a1cbf1b543,,PASS
RA-WAVE-013,UE-13,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-013,UE-13,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-013,UE-13,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,32d25fd2c098bda56afb8e18a65d6f7d26e89a1ace5a0b562bd2bd58c84e13aa,,PASS
RA-WAVE-013,UE-13,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,32d25fd2c098bda56afb8e18a65d6f7d26e89a1ace5a0b562bd2bd58c84e13aa,,PASS
RA-WAVE-013,UE-13,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-013,UE-13,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,f7aafa9764609cca49d472342404210269a58b6b646221a1429ba4c86df0b1cc,,PASS
RA-WAVE-013,UE-13,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,e0e83341c7db1064d26651bd8d089cc3203f72ccaf713cf16ba9aee8862964b2,,PASS
RA-WAVE-013,UE-13,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,e0e83341c7db1064d26651bd8d089cc3203f72ccaf713cf16ba9aee8862964b2,,PASS
RA-WAVE-014,UE-14,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-014,UE-14,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-014,UE-14,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,24d27e77ffb034a1a851a4fa61842ab61145a4d435075d3424a13fbd3d602328,,PASS
RA-WAVE-014,UE-14,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,24d27e77ffb034a1a851a4fa61842ab61145a4d435075d3424a13fbd3d602328,,PASS
RA-WAVE-014,UE-14,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-014,UE-14,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,14d3a0cc6e653b7efead72b5b683e74c90e5fa0cc380afa0b966bbbe00945533,,PASS
RA-WAVE-014,UE-14,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,ec37a8213ef38acc9875318ec313e32f832f97cb482d0e77109cbcf653dbe7e9,,PASS
RA-WAVE-014,UE-14,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,ec37a8213ef38acc9875318ec313e32f832f97cb482d0e77109cbcf653dbe7e9,,PASS
RA-WAVE-015,UE-15,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-015,UE-15,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-015,UE-15,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,f67d41903b6ab06e404f76d3a0ebecc607f454ff2d3fce6b9fd6a22e0ebecb39,,PASS
RA-WAVE-015,UE-15,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,f67d41903b6ab06e404f76d3a0ebecc607f454ff2d3fce6b9fd6a22e0ebecb39,,PASS
RA-WAVE-015,UE-15,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-015,UE-15,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,e759aebcfa5ec7e8cc37d8c59e71876c0a919e854d3a3d0e1c8e49bb77fc1662,,PASS
RA-WAVE-015,UE-15,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,8b9b83dc583039e82fe3418831a23cee1883360466d072d771d557489ca8ba81,,PASS
RA-WAVE-015,UE-15,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,8b9b83dc583039e82fe3418831a23cee1883360466d072d771d557489ca8ba81,,PASS
RA-WAVE-016,UE-16,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-016,UE-16,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
RA-WAVE-016,UE-16,3,WAIT_RAR,RAR_DECODED,WAIT_MSG3,0,2,RO-0001,4660,7,e08d3a32e55051d0a2c2fab45c5167704ec2fc9f246cfbbfc023ff7fce03b944,,PASS
RA-WAVE-016,UE-16,4,WAIT_MSG3,MSG3_DECODED,WAIT_MSG4,0,3,RO-0001,4660,7,e08d3a32e55051d0a2c2fab45c5167704ec2fc9f246cfbbfc023ff7fce03b944,,PASS
RA-WAVE-016,UE-16,5,WAIT_MSG4,CONTENTION_RESOLVED,WAIT_RRC_SETUP,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-016,UE-16,6,WAIT_RRC_SETUP,RRC_SETUP_DECODED,WAIT_SETUP_COMPLETE,0,4,RO-0001,4660,7,19e40cc25cbb24bd96e8b6ec3f447ded0f6b2e360f66cff59a51e7840ddba5bd,,PASS
RA-WAVE-016,UE-16,7,WAIT_SETUP_COMPLETE,SETUP_COMPLETE_DECODED,CONNECTED,0,4,RO-0001,4660,7,b17d379512ce3b08a84c338775102506ea796070c8a21048f1032a00b451372e,,PASS
RA-WAVE-016,UE-16,8,CONNECTED,CONNECTED,CONNECTED,0,4,RO-0001,4660,7,b17d379512ce3b08a84c338775102506ea796070c8a21048f1032a00b451372e,,PASS
RA-WAVE-017,UE-17,1,IDLE,START,TRIGGERED,0,0,RO-0001,4660,7,,,PASS
RA-WAVE-017,UE-17,2,TRIGGERED,MSG1_DETECTED,WAIT_RAR,0,1,RO-0001,4660,7,7fc03e953d80703fc5c33ed56befa34e60b8e39d4de21974152ee37ffed11dd1,,PASS
