CaseID,PreambleIndex,Format,SequenceLength,RootSequenceIndex,CyclicShift,NCS,RestrictedSet,SequenceSHA256,IndexSHA256,IndependentMismatchCount,Status
PRACH-SEQUENCE-001,41,0,839,1,230,8,UnrestrictedSet,f05b448976e96a78adedc9c9829d6a435ce2add47e013bc1162e04ae5b06cb05,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,42,0,839,1,276,8,UnrestrictedSet,be9fdacbca8f849ce183dc0a0516ab48e31f4eb253c8a857f1573b5e23221563,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,43,0,839,1,322,8,UnrestrictedSet,f5dab5fbe2798b7780893bdc58eb8481e29bbc9d4306999403549d74deb79bc3,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,44,0,839,1,368,8,UnrestrictedSet,6065ce246fff69e4527ce9862ff8802d73f12983b799ec1a6b9d341149fc444b,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,45,0,839,1,414,8,UnrestrictedSet,de7f3ba9adfbaafd95c7a9b315bab43dc45334a4b58254092f89fefc2de58c4c,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,46,0,839,1,460,8,UnrestrictedSet,ae8e1d4551acdafe0c4421b4965c412f6ea883720f8bc40c5b3a3cf66213ec1b,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,47,0,839,1,506,8,UnrestrictedSet,cae39e802a39eb42cd5eb1d8799e322cf62e04f6ed0b02bedcf48e728fc0fc72,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,48,0,839,1,552,8,UnrestrictedSet,ce7f192563669d4c95fbef3fa1927102798b92c34ef55f94e35b5524b77934b0,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,49,0,839,1,598,8,UnrestrictedSet,163fc97383603087b42fe46b28860db7230ba9f98ae650717dbb7bd578e17308,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
PRACH-SEQUENCE-001,50,0,839,1,644,8,UnrestrictedSet,cb17e7b6d3dd22186b15a9d58a8d98f76d73ddc62db3923088dc6e2f8901f03d,d3f83bb87fed1267cdcb74667719720a2bcef14b5f165e65fc3eb9c314adeaa8,0,PASS
