AttemptID,RARDCIEventID,RARNTIExpected,RARNTIDecoded,RAPIDExpected,RAPIDDecoded,TimingAdvance,ULGrantSHA256,TempCRNTI,InsideResponseWindow,PDCCHCRC,PDSCHCRC,Status
RA-WAVE-011,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,10,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-012,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,11,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-013,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,12,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-014,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,13,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-015,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,14,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-016,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,15,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-017,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,16,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-018,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,17,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-019,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,18,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
RA-WAVE-020,RA-SI-DCI-fdfea492a65c23fe75481d418fea96c9a451bc5bf5eaca86faa6c51f6e57f124,1,1,7,7,19,38d0511792a3ea1e8fbdaa473e3d95f5b5ab3cf1295e7d26851a0b9b1ce60a5f,4660,1,1,1,PASS
