Direction,SFN,ConfiguredSNR_dB,ConfiguredSNRSource,SNRValueRole,SNR_dB,SystemLevelSINR_dB,SystemLevelSINRSource,SystemLevelSINRValueRole,SystemLevelSINRValueStatus,ReceiverHestSINR_dB,ReceiverHestSINRSource,ReceiverHestSINRValueRole,ReceiverHestSINRValueStatus,ReceiverHestSINRNAReason,DecoderTruthProxySINR_dB,DecoderTruthProxySINRSource,DecoderTruthProxySINRValueRole,DecoderTruthProxySINRValueStatus,DecoderTruthProxySINRNAReason,SINRValueRole,SINRSource,SINRValueStatus,SINRValueDefinition,MeasuredTrialSINR_dB,MeasuredTrialSINRSource,MeasuredTrialSINRValueRole,MeasuredTrialSINRValueStatus,MeasuredTrialSINRNAReason,DopplerHz,DopplerSourceMode,DopplerValueRole,UEID,UEIndex,RNTI,BaseStationID,Frame,Slot,AllocatedPRBCount,PRBStart,Modulation,MCS,MCSIndex,TargetCodeRate,Layers,Rank,WidebandCQI,CQIDerivedMCS,CQIDerivedModulation,CQIDerivedTargetCodeRate,MCSAuthority,ModulationAuthority,GrantOperatingPointSource,AppliedOperatingPointSource,BitErrors,BitsCompared,SymbolErrors,SymbolsCompared,SymbolErrorRate,EVM_rms,LLRMeanAbs,LLRStdAbs,LLRImbalance,Status,ConstellationSamples
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,38.0807314294599,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,2.0947003595118,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,38.0807314294599,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,13,13,13,3,7,7,27,54,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,852,7776,0.109567901234568,0.785714887345241,28188524961.9042,18349565749.2959,0.00471071473611645,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,39.4489749937097,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,-0.232183663432469,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,39.4489749937097,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,15,15,15,3,7,7,27,81,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,964,7776,0.123971193415638,1.02709161368385,30398984036.8248,25046437979.9489,0.0131510750432928,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,32.1629350964918,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,7.24802586546891,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,32.1629350964918,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,16,16,16,3,7,7,27,108,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,104,7776,0.0133744855967078,0.434108916984564,25298165224.3489,10857226644.4828,0.000449472636483764,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,23.4006275543323,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,-1.13608309226168,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,23.4006275543323,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,18,18,18,3,7,7,27,135,QPSK,0,0,0.1171875,2,1,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,1405,7776,0.180684156378601,1.13973570707845,30644639995.9484,21253472150.8006,0.0034988654816232,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,49.9408433051755,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,1.35238397894809,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,49.9408433051755,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,23,23,23,3,7,7,27,162,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,649,7776,0.0834619341563786,0.85581678711205,33466064503.3547,26746946313.0124,0.0169489497426654,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,26.9819071154885,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,-0.976410434551798,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,26.9819071154885,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,24,24,24,3,7,7,27,189,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,1318,7776,0.169495884773663,1.11897535567538,29970937144.6138,22516480372.6462,0.00617118405196842,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,13.2796989414142,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,7.73952510443763,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,13.2796989414142,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,33,33,33,3,7,7,27,216,QPSK,0,0,0.1171875,2,1,10,18,64QAM,0.455078125,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,81,7776,0.0104166666666667,0.410226531251504,25387306354.1815,10255071635.0608,0.0106369446603974,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,35.547900487625,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,-0.238964651230894,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,35.547900487625,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,34,34,34,3,7,7,27,243,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2024,301,7776,0.0387088477366255,1.0278937669845,35694743807.5578,34877664015.9236,0.00202376263110501,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,21.2696238739457,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,5.81088705735192,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,21.2696238739457,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,20,20,20,4,7,7,30,0,QPSK,0,0,0.1171875,2,2,14,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2216,199,8640,0.0230324074074074,0.512218956591168,25624030848.9113,12937963568.6302,0.00398941849166858,PASS,0
DL,7,12,configured_runtime_operating_point_reference,configured_reference_metadata,12,not_applicable,not_applicable,not_applicable,not_applicable,54.2301769705067,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,7.77086306429303,post_equalization_evm_proxy,not_applicable,not_applicable,none,estimated,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,54.2301769705067,receiver_hest_csi_feedback_wideband_effective_sinr,not_applicable,not_applicable,none,11.1188031732717,derive_from_ue_speed,scenario_resolved_metadata,22,22,22,4,7,7,30,30,QPSK,0,0,0.1171875,2,2,15,26,64QAM,0.8525390625,scheduler_grant,scheduler_grant,scheduler_grant,scheduler_grant,0,2216,62,8640,0.00717592592592593,0.408749135165096,26434900017.8937,10760608964.1991,0.00172249653196826,PASS,0
