File,IssueCount,IssueTokens,Status,AllowedDisclosureCount,ScannedValueCount
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\pucch_trials.csv,0,not_applicable,ok,0,0
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\air_interface\csv\srs_trials.csv,0,not_applicable,ok,0,2886
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\cell_search_trials.csv,0,not_applicable,ok,0,3000
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\pbch_recovery_trials.csv,0,not_applicable,ok,0,3000
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\prach_trials.csv,0,not_applicable,ok,0,2500
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\pdcch_trials.csv,0,not_applicable,ok,0,18152
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\pucch_trials.csv,0,not_applicable,ok,0,0
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\control\csv\attach_state_trace.csv,0,not_applicable,ok,0,450
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\packet_flow\csv\live_dl_scheduler_grants.csv,0,not_applicable,ok,0,11176
C:\Users\Administrator\AppData\Local\Temp\2\sixgr_mysql_web_runs\lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot\webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900\packet_flow\csv\live_ul_scheduler_grants.csv,0,not_applicable,ok,0,7222
