ParameterName,Category,DBSnapshotValue,DBLogicalPath,ExportedCSVLogicalPath,ExportedCSVValue,BrowserPayloadField,BrowserDisplayedValue,ConsistencyStatus,BrowserVisible,RuntimeConsumer,ConsistencyNotes
channels.los_enabled,channel,0,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,consistent,1,buildInternalConfig -> cfg.channel.losEnabled,
channels.spatial_consistency_enabled,channel,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.channel.spatialConsistencyEnabled,
channels.doppler_source_mode,channel,derive_from_ue_speed,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,derive_from_ue_speed,runtime_context.roundtrip_artifacts.config_roundtrip_verification,derive_from_ue_speed,consistent,1,buildInternalConfig.localResolveDopplerSourceMode -> cfg.channel.dopplerSourceMode,
channels.doppler_hz,channel,11.1111111111,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,11.1111111111,runtime_context.roundtrip_artifacts.config_roundtrip_verification,11.1111111111,consistent,1,buildInternalConfig -> cfg.channel.dopplerConfigured_Hz,
channels.pathloss_model,channel,nrPathLoss,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,nrPathLoss,runtime_context.roundtrip_artifacts.config_roundtrip_verification,nrPathLoss,consistent,1,buildInternalConfig -> cfg.channel.pathloss.model,
channels.shadow_fading_std_db,channel,6,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,6,runtime_context.roundtrip_artifacts.config_roundtrip_verification,6,consistent,1,buildInternalConfig -> cfg.channel.shadowFadingStd_dB,
simulation.snr_db,noise_interference,12,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,12,runtime_context.roundtrip_artifacts.config_roundtrip_verification,12,consistent,1,buildInternalConfig -> cfg.channel.snr_dB,
simulation.noise_operating_mode,noise_interference,receiver_noise_figure_thermal_noise,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,receiver_noise_figure_thermal_noise,runtime_context.roundtrip_artifacts.config_roundtrip_verification,receiver_noise_figure_thermal_noise,consistent,1,buildInternalConfig.localResolveNoiseOperatingMode -> cfg.run.noiseOperatingMode,
power_and_rf_frontend.ue_noise_figure_db,noise_interference,7,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,7,runtime_context.roundtrip_artifacts.config_roundtrip_verification,7,consistent,1,buildInternalConfig.localResolveUENoiseFigure_dB -> cfg.channel.receiverNoiseFigure_dB,
interference.inter_cell_execution_mode,noise_interference,full_per_link_channel_waveform_sum,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,full_per_link_channel_waveform_sum,runtime_context.roundtrip_artifacts.config_roundtrip_verification,full_per_link_channel_waveform_sum,consistent,1,buildInternalConfig.localResolveInterferenceExecutionMode -> cfg.run.interferenceExecutionMode,
receiver.use_ideal_timing_sync,noise_interference,0,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,consistent,1,buildInternalConfig -> cfg.phy.rx.useIdealTimingSync,
impairments.cfo_hz,noise_interference,40,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,40,runtime_context.roundtrip_artifacts.config_roundtrip_verification,40,consistent,1,buildInternalConfig -> cfg.phy.impairments.cfoHz,
impairments.timing_offset_samples,noise_interference,0,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,consistent,1,buildInternalConfig -> cfg.phy.impairments.timingOffsetSamples,
run_control.execution_mode,scheduler_mac,LLS,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,LLS,runtime_context.roundtrip_artifacts.config_roundtrip_verification,LLS,consistent,1,buildInternalConfig.localResolveBrowserExecutionMode -> cfg.run.executionMode,
run_control.num_workers,scheduler_mac,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.numWorkers; runSingle.localEnsureParallelExecution -> requested/effective worker ownership,
run_control.batch_size_links,scheduler_mac,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.batchSizeLinks; runWaveformLinkBundle.localExecuteCoupledDirectionBatch -> chunked grant execution ownership,
users.execution_model,scheduler_mac,slot_coupled_truth,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,slot_coupled_truth,runtime_context.roundtrip_artifacts.config_roundtrip_verification,slot_coupled_truth,consistent,1,buildInternalConfig -> cfg.lls6g.users.execution_model,
system.scheduler.type,scheduler_mac,PF,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,PF,runtime_context.roundtrip_artifacts.config_roundtrip_verification,PF,consistent,1,buildInternalConfig.localApplySystemConfig -> cfg.system.scheduler.type / cfg.mac.scheduler.type,
system.measurement.periodSlots,scheduler_mac,2,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,2,runtime_context.roundtrip_artifacts.config_roundtrip_verification,2,consistent,1,buildInternalConfig.localApplySystemConfig -> cfg.system.measurement.periodSlots,
system.beam.updatePeriod_slots,beam_precoding,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig.localApplySystemConfig -> cfg.system.beam.updatePeriod_slots,
traffic.model,scheduler_mac,fullBuffer,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,fullBuffer,runtime_context.roundtrip_artifacts.config_roundtrip_verification,fullBuffer,consistent,1,buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.model,
traffic.transport,scheduler_mac,UDP,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,UDP,runtime_context.roundtrip_artifacts.config_roundtrip_verification,UDP,consistent,1,buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.transport,
traffic.flowDirection,scheduler_mac,BIDIR,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,BIDIR,runtime_context.roundtrip_artifacts.config_roundtrip_verification,BIDIR,consistent,1,buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.flowDirection,
traffic.targetRate_Mbps,scheduler_mac,200,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,200,runtime_context.roundtrip_artifacts.config_roundtrip_verification,200,consistent,1,buildInternalConfig.localApplyTrafficConfig -> cfg.traffic.targetRate_Mbps,
traffic.flows,scheduler_mac,,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,,runtime_context.roundtrip_artifacts.config_roundtrip_verification,,consistent_runtime_derived_db_unavailable,1,buildInternalConfig.localResolveTrafficFlows -> cfg.traffic.flows,overlay_inherited_from_base; db_snapshot_unavailable
coding.max_decoder_iterations,scheduler_mac,8,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,8,runtime_context.roundtrip_artifacts.config_roundtrip_verification,8,consistent,1,buildInternalConfig -> cfg.phy.ldpc.maxIterations,
harq.enabled,harq,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.harq.enable / cfg.mac.harq.enable,
harq.max_retx,harq,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig -> cfg.mac.harq.maxRetx,
harq.process_count,harq,16,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,16,runtime_context.roundtrip_artifacts.config_roundtrip_verification,16,consistent,1,buildInternalConfig -> cfg.phy.harq.nProcesses,
harq.feedback_timing_slots,harq,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig -> cfg.phy.harq.feedbackTimingSlots,
harq.combining_mode,harq,soft,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,soft,runtime_context.roundtrip_artifacts.config_roundtrip_verification,soft,consistent,1,buildInternalConfig -> cfg.phy.harq.combiningMode,
harq.validation_mode,harq,exercise,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,exercise,runtime_context.roundtrip_artifacts.config_roundtrip_verification,exercise,consistent,1,buildInternalConfig -> cfg.phy.harq.validationMode,
control_gating.pbch_required,control_gating,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.controlGating.pbchRequired,
control_gating.prach_required,control_gating,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.controlGating.prachRequired,
control_gating.pdcch_required,control_gating,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.controlGating.pdcchRequired,
control_gating.srs_required,control_gating,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.controlGating.srsRequired,
control_gating.trs_required,control_gating,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.run.controlGating.trsRequired,
control_gating.srs_max_age_slots,control_gating,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig -> cfg.run.controlGating.srsMaxAgeSlots,
control_gating.trs_max_age_slots,control_gating,4,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,4,runtime_context.roundtrip_artifacts.config_roundtrip_verification,4,consistent,1,buildInternalConfig -> cfg.run.controlGating.trsMaxAgeSlots,
control.pucch_enabled,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.pucch.enable,
control.pucch_format,pucch_trs,2,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,2,runtime_context.roundtrip_artifacts.config_roundtrip_verification,2,consistent,1,buildInternalConfig -> cfg.phy.pucch.format,
reference_signals.srs_enabled,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.srs.enable,
reference_signals.srs_ports,pucch_trs,2,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,2,runtime_context.roundtrip_artifacts.config_roundtrip_verification,2,consistent,1,buildInternalConfig -> cfg.phy.srs.nPorts,
reference_signals.trs_enabled,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.trs.enable,
reference_signals.trs.num_ports,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.trs.nPorts,
reference_signals.trs.scrambling_id,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.trs.scramblingID,
reference_signals.ptrs_enabled,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.ptrs.enable,
reference_signals.tracking_rs_enabled,pucch_trs,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.phy.trackingRS.enable,
users.beam_selection_strategy,beam_precoding,runtime_best_beam_per_link,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,runtime_best_beam_per_link,runtime_context.roundtrip_artifacts.config_roundtrip_verification,runtime_best_beam_per_link,consistent,1,runWaveformLinkBundle.localResolveMultiUserSpec -> beam selection strategy,
link_adaptation.fixed_or_amc,beam_precoding,amc,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,amc,runtime_context.roundtrip_artifacts.config_roundtrip_verification,amc,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.mode,
modulation.mcs_table,beam_precoding,qam64_table1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,qam64_table1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,qam64_table1,consistent,1,buildInternalConfig -> cfg.phy.pdsch.mcsTable / cfg.phy.pusch.mcsTable,
link_adaptation.cqi_table,beam_precoding,table1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,table1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,table1,consistent,1,buildInternalConfig.localResolveCQITableToken -> cfg.phy.csi.cqiTable,
link_adaptation.pdsch_link_adaptation_policy,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.dlPolicy,
link_adaptation.pusch_link_adaptation_policy,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.ulPolicy,
link_adaptation.cqi_source,beam_precoding,csi_feedback,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,csi_feedback,runtime_context.roundtrip_artifacts.config_roundtrip_verification,csi_feedback,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.cqiSource,
link_adaptation.delta_cqi_policy,beam_precoding,none,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,none,runtime_context.roundtrip_artifacts.config_roundtrip_verification,none,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.deltaCQIPolicy,
link_adaptation.delta_mcs_policy,beam_precoding,none,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,none,runtime_context.roundtrip_artifacts.config_roundtrip_verification,none,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.deltaMCSPolicy,
link_adaptation.rank_adaptation_policy,beam_precoding,fixed,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,fixed,runtime_context.roundtrip_artifacts.config_roundtrip_verification,fixed,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.rankPolicy,
link_adaptation.adaptation_periodicity,beam_precoding,slot,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,slot,runtime_context.roundtrip_artifacts.config_roundtrip_verification,slot,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.periodicity,
link_adaptation.adaptation_delay_model,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.delayModel,
link_adaptation.beam_adaptation_policy,beam_precoding,fixed,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,fixed,runtime_context.roundtrip_artifacts.config_roundtrip_verification,fixed,consistent,1,buildInternalConfig -> cfg.phy.linkAdaptation.beamPolicy,
reference_signals.pmi_codebook_mode,beam_precoding,type1_su_mimo,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,type1_su_mimo,runtime_context.roundtrip_artifacts.config_roundtrip_verification,type1_su_mimo,consistent,1,buildInternalConfig -> cfg.phy.csi.pmiCodebookMode,
csi_acquisition_and_reporting.channel_state_information_mode,beam_precoding,PMI+CQI+RI,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,PMI+CQI+RI,runtime_context.roundtrip_artifacts.config_roundtrip_verification,PMI+CQI+RI,consistent,1,buildInternalConfig -> cfg.phy.csi.feedbackMode,
csi_acquisition_and_reporting.cqi_policy,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.csi.cqiPolicy; derived enable flag cfg.phy.csi.reportCQI,
csi_acquisition_and_reporting.pmi_policy,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.csi.pmiPolicy; derived enable flag cfg.phy.csi.reportPMI,
csi_acquisition_and_reporting.ri_policy,beam_precoding,baseline,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,baseline,runtime_context.roundtrip_artifacts.config_roundtrip_verification,baseline,consistent,1,buildInternalConfig -> cfg.phy.csi.riPolicy; derived enable flag cfg.phy.csi.reportRI,
csi_acquisition_and_reporting.cri_policy,beam_precoding,disabled,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,disabled,runtime_context.roundtrip_artifacts.config_roundtrip_verification,disabled,consistent,1,buildInternalConfig -> cfg.phy.csi.criPolicy; derived enable flag cfg.phy.csi.reportCRI,
csi_acquisition_and_reporting.report_payload_mode,beam_precoding,compressed,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,compressed,runtime_context.roundtrip_artifacts.config_roundtrip_verification,compressed,consistent,1,buildInternalConfig -> cfg.phy.csi.reportPayloadMode,
waveform.transform_precoding_enabled,beam_precoding,0,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,0,runtime_context.roundtrip_artifacts.config_roundtrip_verification,0,consistent,1,buildInternalConfig -> cfg.phy.pusch.transformPrecoding,
output.backend,exports,mysql_web,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,mysql_web,runtime_context.roundtrip_artifacts.config_roundtrip_verification,mysql_web,consistent,1,buildInternalConfig -> cfg.outputs.storageBackend,
output.database_host,exports,localhost,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,localhost,runtime_context.roundtrip_artifacts.config_roundtrip_verification,localhost,consistent,1,buildInternalConfig -> cfg.outputs.databaseHost,
output.database_port,exports,3306,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,3306,runtime_context.roundtrip_artifacts.config_roundtrip_verification,3306,consistent,1,buildInternalConfig -> cfg.outputs.databasePort,
output.database_schema,exports,sixgr_results,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,sixgr_results,runtime_context.roundtrip_artifacts.config_roundtrip_verification,sixgr_results,consistent,1,buildInternalConfig -> cfg.outputs.databaseSchema,
output.save_csv,exports,1,sim_runs.config_json,reports/csv/config_roundtrip_verification.csv,1,runtime_context.roundtrip_artifacts.config_roundtrip_verification,1,consistent,1,buildInternalConfig -> cfg.outputs.saveCSV,
