CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Availability,CountsTowardCoverage,CoveredRowCount,ObservedRowCount,DerivedRowCount,ConfigOnlyRowCount,DisabledRowCount,PlaceholderRowCount,NotSupportedRowCount,NotAvailableRowCount,NotExercisedRowCount,SourceArtifacts,Notes
"B","basic_phy_performance_outputs","Basic PHY performance outputs","required_snr_target_bler","required SNR at target BLER values","not_available",0,0,0,0,0,0,0,0,8,0,"air_interface/csv/lls_snr_sweep.csv","Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.0001. Sample count per SNR: n=150 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.0001. Sample count per SNR: n=96 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.001. Sample count per SNR: n=150 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.001. Sample count per SNR: n=96 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.01. Sample count per SNR: n=150 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.01. Sample count per SNR: n=96 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.1. Sample count per SNR: n=150 | Derived from the primary adaptive sweep. not_enough_data: fewer than two usable SNR sweep points were available for BLER=0.1. Sample count per SNR: n=96"
"B","basic_phy_performance_outputs","Basic PHY performance outputs","outage_probability","outage probability","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"B","basic_phy_performance_outputs","Basic PHY performance outputs","error_floor_region_characterization","error-floor region characterization","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/lls_snr_sweep.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","decoder_iterations","decoder iterations","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","early_stop_rate","early-stop rate","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","computation_complexity","computation complexity","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","normalized_decoding_complexity","normalized decoding complexity","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","latency_per_decode","decode compute latency","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Latency-per-decode rows are exported from ComputeLatency_ms wall-clock decoder runtime. Radio/procedure delay remains in separate explicit metrics."
"C","coding_decoder_outputs","Coding/decoder outputs","area_efficiency_proxy","area-efficiency proxy","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","snr_gain_same_complexity","SNR gain at same complexity","not_available",0,0,0,0,0,0,0,0,6,0,"air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need at least two usable complexity points."
"C","coding_decoder_outputs","Coding/decoder outputs","complexity_reduction_same_bler","complexity reduction at same BLER","not_available",0,0,0,0,0,0,0,0,8,0,"air_interface/csv/lls_reference_snr_sweep.csv|air_interface/csv/lls_snr_sweep.csv","no_valid_comparator: both the adaptive and fixed-reference sweeps need usable BLER and complexity curves."
"C","coding_decoder_outputs","Coding/decoder outputs","cb_size_distribution","CB size distribution","observed",1,14,14,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"C","coding_decoder_outputs","Coding/decoder outputs","segmentation_statistics","segmentation statistics","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Segmentation padding is emitted as a transport-block segmentation statistic."
"C","coding_decoder_outputs","Coding/decoder outputs","puncturing_shortening_statistics","puncturing / shortening statistics","observed",1,10,10,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Exported as shortening/padding proxy because explicit shortening state is not emitted separately."
"D","modulation_shaping_outputs","Modulation / shaping outputs","constellation_scatter","constellation scatter","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/image/dl_constellation_scatter.png|air_interface/image/ul_constellation_scatter.png","Measured aligned-equalized, hard-decision, and reference DL constellation samples. | Measured aligned-equalized, hard-decision, and reference UL constellation samples."
"D","modulation_shaping_outputs","Modulation / shaping outputs","evm","EVM","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","symbol_error_rate","symbol error rate","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Measured symbol decisions versus transmitted modulated symbols."
"D","modulation_shaping_outputs","Modulation / shaping outputs","papr_ccdf","PAPR CCDF","observed",1,7,6,1,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv|reports/image/papr_ccdf.png",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","peak_clipping_events","peak clipping events","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","shaping_rate_loss","shaping rate loss","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","distribution_matching_latency","distribution matching latency","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","modulation_mapping_sensitivity","modulation-mapping sensitivity","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","llr_reliability_imbalance_metrics","LLR reliability imbalance metrics","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"D","modulation_shaping_outputs","Modulation / shaping outputs","high_order_modulation_robustness_under_impairments","high-order modulation robustness under impairments","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","ce_nmse","CE NMSE","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","cfo_rmse","CFO RMSE","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pbch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","to_rmse","TO RMSE","observed",1,9,9,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/pbch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","doppler_rmse","Doppler RMSE","observed",1,9,9,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/trs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","phase_tracking_error","phase tracking error","observed",1,9,9,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/trs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","qcl_estimation_accuracy","QCL estimation accuracy","observed",1,12,12,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","channel_aging_loss","channel aging loss","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","interpolation_loss","interpolation loss","observed",1,12,12,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","mismatch_sensitivity","mismatch sensitivity","observed",1,12,12,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","acquisition_time","acquisition observation time","observed",1,9,9,0,0,0,0,0,0,0,"air_interface/csv/pbch_trials.csv|air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv","Tracking acquisition time is exported as radio-time observation duration, not wall-clock compute time."
"E","channel_estimation_tracking_outputs","Channel-estimation / tracking outputs","tracking_failure_probability","tracking failure probability","observed",1,9,9,0,0,0,0,0,0,0,"air_interface/csv/pbch_trials.csv|air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","miss_detection_probability","miss-detection probability","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/pbch_trials.csv|air_interface/csv/pdcch_trials.csv|air_interface/csv/prach_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","false_alarm_probability","false-alarm probability","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv","Measured from a noise-only PDCCH decode attempt for each runtime trial."
"F","pdcch_control_outputs","PDCCH/control outputs","blocking_probability","blocking probability","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv","Measured from actual aggregation-level demand versus configured CORESET CCE capacity."
"F","pdcch_control_outputs","PDCCH/control outputs","blind_decode_count","blind-decode count","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","non_overlapped_cce_usage","non-overlapped CCE usage","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","aggregation_level_distribution","AL distribution","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","dci_size_distribution","DCI size distribution","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","control_capacity_under_load","control capacity under load","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","coreset_utilization","CORESET utilization","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv",""
"F","pdcch_control_outputs","PDCCH/control outputs","control_latency","control radio latency","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv","Control latency is exported as radio-time control opportunity duration when available. Wall-clock PDCCH decode runtime is exported separately as compute latency."
"F","pdcch_control_outputs","PDCCH/control outputs","detection_feedback_effectiveness","detection-feedback effectiveness","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv","Measured as successful PDCCH decode rate while detection feedback is enabled. | Measured over executed PDCCH trials while detection feedback is enabled."
"F","pdcch_control_outputs","PDCCH/control outputs","pdcch_repetition_gain","PDCCH repetition gain","observed",1,1,1,0,0,0,0,0,0,0,"meta/scenario_config_resolved.yaml","Config-derived repetition combining gain proxy from the enabled repetition count."
"F","pdcch_control_outputs","PDCCH/control outputs","pdcch_monitoring_energy","PDCCH monitoring energy","observed",1,1,1,0,0,0,0,0,0,0,"rf/csv/probe_rf_energy.csv","UE receive energy while monitoring PDCCH."
"F","pdcch_control_outputs","PDCCH/control outputs","invalid_detection_power_cost","invalid detection power cost","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/pdcch_trials.csv","Measured from noise-only PDCCH decode attempts. | Measured from the product of false-alarm probability and UE PDCCH monitoring energy."
"F","pdcch_control_outputs","PDCCH/control outputs","puncturing_exclusion_sensitivity","puncturing/exclusion sensitivity","disabled",0,0,0,0,0,1,0,0,0,0,"meta/scenario_config_resolved.yaml","No puncturing or exclusion constraints are enabled in this scenario."
"F","pdcch_control_outputs","PDCCH/control outputs","mrss_impact_on_control","MRSS impact on control","disabled",0,0,0,0,0,1,0,0,0,0,"meta/scenario_config_resolved.yaml","MRSS constraints are disabled by scenario configuration, so control impact is zero by construction."
"G","pdsch_outputs","PDSCH outputs","per_layer_bler","per-layer BLER","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv","Current LLS runtime exports one-codeword TB outcome; per-layer BLER is attributed to each active layer in the configured layer map."
"G","pdsch_outputs","PDSCH outputs","per_codeword_bler","per-codeword BLER","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv","Current LLS runtime exports a single-codeword PDSCH path; codeword_1 BLER equals TB failure rate."
"G","pdsch_outputs","PDSCH outputs","per_rank_throughput","per-rank throughput","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv",""
"G","pdsch_outputs","PDSCH outputs","equalizer_output_sinr","equalizer output SINR","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv",""
"G","pdsch_outputs","PDSCH outputs","residual_interference_power","residual interference power","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv",""
"G","pdsch_outputs","PDSCH outputs","harq_gain_per_retransmission","HARQ gain per retransmission","observed",1,2,2,0,0,0,0,0,0,0,"harq/csv/probe_harq_summary.csv","HARQ exercise mode. Recovered packets attributable to HARQ retransmissions."
"G","pdsch_outputs","PDSCH outputs","rate_matching_overhead","rate matching overhead","observed",1,2,2,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv","Measured from actual rate-matching puncture and repetition bit counts."
"G","pdsch_outputs","PDSCH outputs","rs_overhead_contribution","RS overhead contribution","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv",""
"G","pdsch_outputs","PDSCH outputs","beam_precoder_gain","beam / precoder gain","observed",1,3,3,0,0,0,0,0,0,0,"beamforming/csv/probe_beam_mimo.csv",""
"G","pdsch_outputs","PDSCH outputs","mtrp_gain","mTRP gain","disabled",0,0,0,0,0,2,0,0,0,0,"beamforming/csv/probe_beam_management.csv","Single-TRP runtime; mTRP beam-selection gain is not enabled for this scenario."
"G","pdsch_outputs","PDSCH outputs","detector_complexity","detector complexity","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv",""
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","ul_bler_throughput","UL BLER / throughput","observed",1,5,5,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv",""
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","low_papr_gain","low-PAPR gain","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv","Reported as observed UL PAPR under the configured low-PAPR mode. Lower observed PAPR implies higher low-PAPR gain relative to a comparator campaign. Feature is disabled in this scenario, so the effective gain is zero by configuration."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","pa_backoff_impact","PA backoff impact","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv","Configured PA backoff is exported directly, alongside observed UL goodput efficiency from the actual waveform run."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","prep_time_related_impact","prep-time related impact","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv","Prep-time impact is exported through the configured prep-time policy and the observed UL compute-latency cost in the waveform loop. No separate radio/procedure delay is modeled here."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","uci_multiplexing_efficiency","UCI multiplexing efficiency","observed",1,1,1,0,0,0,0,0,0,0,"air_interface/csv/pucch_trials.csv","Computed as successful UCI bits over transmitted UCI bits from actual PUCCH observations under the configured multiplexing policy."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","simultaneous_pucch_pusch_behavior","simultaneous PUCCH/PUSCH behavior","observed",1,1,1,0,0,0,0,0,0,0,"air_interface/csv/pucch_trials.csv","Simultaneous behavior is measured from overlapping Frame/Slot observations between the actual PUSCH and PUCCH trial tables."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","power_control_convergence","power control convergence","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv","Power-control convergence is summarized from actual UL SINR stability under the configured power-control policy."
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","dmrs_estimation_quality","DMRS estimation quality","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/srs_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"H","pusch_pucch_outputs","PUSCH / PUCCH outputs","msg3_specific_success_metrics","Msg3-specific success metrics","observed",1,3,3,0,0,0,0,0,0,0,"air_interface/csv/ul_pusch_trials.csv","Msg3 success is exported from the actual UL/PUSCH and PRACH execution path when Msg3 support is enabled."
"I","csi_outputs","CSI outputs","cqi_accuracy","CQI accuracy","observed",1,8,8,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","CQI accuracy is computed against the repo's SINR-to-CQI reference mapping from the actual measured SINR in each runtime trial."
"I","csi_outputs","CSI outputs","pmi_accuracy","PMI accuracy","observed",1,8,8,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","PMI accuracy is computed against the best available codebook reference for each trial: best-beam index first, then selected beam, then configured PMI."
"I","csi_outputs","CSI outputs","ri_accuracy","RI accuracy","observed",1,8,8,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","RI accuracy is computed against the runtime rank estimate, with configured layer count used as fallback when no separate rank estimate is available."
"I","csi_outputs","CSI outputs","l1_sinr_accuracy","L1-SINR accuracy","observed",1,8,8,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","L1-SINR accuracy is measured against a channel-gain over noise reference derived from the actual runtime channel estimate summary."
"I","csi_outputs","CSI outputs","rsrp_accuracy","RSRP accuracy","observed",1,8,8,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","RSRP accuracy is exported as a receive-power proxy error between selected-beam RS power and wideband channel gain from the actual runtime trial."
"I","csi_outputs","CSI outputs","csi_report_size","CSI report size","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"I","csi_outputs","CSI outputs","csi_reporting_overhead","CSI reporting overhead","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"I","csi_outputs","CSI outputs","report_latency","CSI report radio latency","observed",1,6,6,0,1,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","CSI report latency is exported as radio-time reporting interval or TTI context when available. Compute decode latency is exported separately in complexity/runtime outputs."
"I","csi_outputs","CSI outputs","csi_aging_loss","CSI aging loss","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv",""
"I","csi_outputs","CSI outputs","scheduler_application_loss","scheduler application loss","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","LLS applies CSI-driven decisions inside the waveform loop; scheduler application loss is exported as the fraction of scheduled adaptation steps not yet applied in the same trial record."
"I","csi_outputs","CSI outputs","sgcs","SGCS","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","SGCS is exported as a normalized subspace-conditioning score derived from the actual wideband channel condition number. Higher is better."
"I","csi_outputs","CSI outputs","nmse","NMSE","observed",1,6,6,0,0,0,0,0,0,0,"air_interface/csv/srs_trials.csv|air_interface/csv/trs_trials.csv",""
"I","csi_outputs","CSI outputs","dmrs_vs_csirs_comparison","DMRS-based vs CSI-RS-based comparison","observed",1,2,2,0,1,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv","Dedicated CSI-RS runtime events are persisted when waveform CSI-RS is mapped and observed; this DMRS-vs-CSI-RS estimate delta still reflects the shared CSI estimator path."
"I","csi_outputs","CSI outputs","srs_port_scaling_impact","SRS-port scaling impact","observed",1,4,4,0,0,0,0,0,0,0,"air_interface/csv/srs_trials.csv","SRS-port scaling impact is exported as the configured port count alongside the observed SRS NMSE from the actual run."
"I","csi_outputs","CSI outputs","reciprocity_mismatch_impact","reciprocity mismatch impact","observed",1,7,7,0,0,0,0,0,0,0,"air_interface/csv/dl_pdsch_trials.csv|air_interface/csv/ul_pusch_trials.csv","Reciprocity mismatch impact is measured from the actual runtime mismatch-sensitivity signal under the configured reciprocity mode."
"I","csi_outputs","CSI outputs","analog_jscc_jscm_robustness_metrics","analog / JSCC / JSCM robustness metrics","config_only",0,0,0,0,3,0,0,0,0,0,"","AI/ML CSI robustness is exported as a scenario-mode row. In non-AI baseline runs the robustness delta is zero by configuration."
