Scope,ScopeDefinition,Direction,UEID,UEIndex,RNTI,ObservedFrames,ErroredFrames,FER,BLER,BER,FERDefinition,TraceSource,Notes
"ue","single_ue_in_direction_aggregated_per_frame","DL",47,47,47,3,1,0.333333333333333,0.333333333333333,0.257700477960701,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",4,4,4,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",6,6,6,3,1,0.333333333333333,0.333333333333333,0.171921586165772,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",10,10,10,3,2,0.666666666666667,0.666666666666667,0.148586266589729,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",29,29,29,3,1,0.333333333333333,0.333333333333333,0.011231884057971,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",35,35,35,3,1,0.333333333333333,0.333333333333333,0.0549268404206676,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",41,41,41,3,1,0.333333333333333,0.333333333333333,0.021195652173913,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",45,45,45,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",50,50,50,3,1,0.333333333333333,0.333333333333333,0.314292763157895,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",2,2,2,3,2,0.666666666666667,0.666666666666667,0.221714937936938,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",12,12,12,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",13,13,13,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",15,15,15,3,1,0.333333333333333,0.333333333333333,0.0271147403685092,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",16,16,16,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",18,18,18,3,1,0.333333333333333,0.333333333333333,0.0998965626989179,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",23,23,23,3,1,0.333333333333333,0.333333333333333,0.215480616038237,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",24,24,24,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",33,33,33,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",34,34,34,3,2,0.666666666666667,0.666666666666667,0.2126301892328,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",20,20,20,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",22,22,22,3,2,0.666666666666667,0.666666666666667,0.150023386342376,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",32,32,32,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",37,37,37,3,1,0.333333333333333,0.333333333333333,0.0384457236842105,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",38,38,38,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",40,40,40,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",42,42,42,3,2,0.666666666666667,0.666666666666667,0.188054785020804,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",44,44,44,3,1,0.333333333333333,0.333333333333333,0.0293996710526316,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",49,49,49,3,2,0.666666666666667,0.666666666666667,0.189761513157895,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",1,1,1,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",8,8,8,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",11,11,11,3,1,0.333333333333333,0.333333333333333,0.0296658986175115,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",17,17,17,3,1,0.333333333333333,0.333333333333333,0.0406839622641509,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",21,21,21,3,1,0.333333333333333,0.333333333333333,0.00854952830188679,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",25,25,25,3,1,0.333333333333333,0.333333333333333,0.0397995283018868,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",28,28,28,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",30,30,30,3,2,0.666666666666667,0.666666666666667,0.153036938309216,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",31,31,31,3,1,0.333333333333333,0.333333333333333,0.198638613861386,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",36,36,36,3,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",39,39,39,3,1,0.333333333333333,0.333333333333333,0.311473727422003,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",46,46,46,3,1,0.333333333333333,0.333333333333333,0.407965554359526,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","DL",48,48,48,3,2,0.666666666666667,0.666666666666667,0.173054245283019,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","dl_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"run","all_ues_in_direction_aggregated_per_frame_no_ue_identity","UL",NaN,NaN,NaN,2,2,1,0.46875,0.141902940207859,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. Run scope aggregates all executed UEs in the direction and intentionally leaves UE identity blank."
"ue","single_ue_in_direction_aggregated_per_frame","UL",3,3,3,2,1,0.5,0.5,0.151338447088291,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",5,5,5,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",9,9,9,2,2,1,1,0.496595178459612,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",14,14,14,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",19,19,19,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",26,26,26,2,1,0.5,0.5,0.229610206637445,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",40,40,40,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",43,43,43,2,1,0.5,0.5,0.220922041327489,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",47,47,47,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",4,4,4,2,1,0.5,0.5,0.0989033870072182,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",6,6,6,2,1,0.5,0.5,0.142073847862299,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",10,10,10,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",29,29,29,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",35,35,35,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",41,41,41,2,1,0.5,0.5,0.0416782343142698,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",45,45,45,2,1,0.5,0.5,0.153699333703498,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",50,50,50,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",2,2,2,2,2,1,1,0.304661254199328,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",12,12,12,2,1,0.5,0.5,0.023051033187226,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",13,13,13,2,1,0.5,0.5,0.214816844082655,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",15,15,15,2,2,1,1,0.271396797153025,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",16,16,16,2,2,1,1,0.168601003764115,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",18,18,18,2,0,0,0,0,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",23,23,23,2,1,0.5,0.5,0.0926737633061991,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
"ue","single_ue_in_direction_aggregated_per_frame","UL",24,24,24,2,2,1,1,0.323774608276416,"frame_fails_if_any_executed_transport_block_fails_crc_or_crashes","ul_frame_grouped_raw_link_trials","FER is derived from actual raw trial outcomes by marking a frame as failed when any executed transport block in that direction/scope fails CRC or crashes. UE scope aggregates only the selected UE in the direction and may carry UE identity."
