UEID,X_m,Y_m,Z_m,Lat,Lon,Indoor,Speed_kmh,Heading_deg,CoordinateMode,MapAnchorLabel
12,645.009464715597,222.826700941713,1.5,19.1241655847269,73.0053496759778,0,3,222.483587144537,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
13,133.612796271656,146.937744892997,1.5,19.1234839598615,73.0004873698948,0,3,201.041222032618,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
14,-143.794084784286,-520.158133257536,1.5,19.1174913349394,72.9978498775555,0,3,202.201577127068,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
15,-585.637316163374,-111.582687894834,1.5,19.1211615519219,72.9936489288192,0,3,51.9060514831497,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
16,-445.34033461883,-128.623321943706,1.5,19.1210085086173,72.9949828360937,0,3,154.063031930627,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
17,-164.619749021918,-494.40687806968,1.5,19.1177226608325,72.9976518753356,0,3,192.66072542938,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
18,-493.365459542177,169.135518936477,1.5,19.1236833107843,72.9945261515138,0,3,250.226814746222,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
19,62.3720228701582,215.179830525104,1.5,19.1240969923561,72.9998100257902,0,3,234.293299418629,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
20,440.891278982669,-540.079299888396,1.5,19.1173123376467,73.0034087698582,0,3,164.225956515692,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
21,419.833442964403,-538.080464137314,1.5,19.1173302979187,73.0032085631059,0,3,128.464910906905,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
22,495.578027598435,-565.389038909612,1.5,19.1170849638903,73.0039286971459,0,3,145.540097514014,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
23,621.099408193544,164.97125324669,1.5,19.1236458677904,73.0051223233306,1,3,233.643739531851,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
24,-547.851732765932,-166.964086105702,1.5,19.1206640628151,72.9940081989597,1,3,94.264266855977,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
25,-73.8174893488202,-454.801202347737,1.5,19.1180784499566,72.9985151776328,0,3,168.711294832758,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
26,-405.62398202711,70.343201024435,1.5,19.1227958635535,72.9953604056909,0,3,221.245884606455,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
27,504.031877642072,-551.566057797928,1.5,19.1172091357791,73.0040090755385,1,3,190.169861446928,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
28,461.015690737578,-419.948638661833,1.5,19.118391485305,73.0036001311395,0,3,202.723622890209,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
29,159.207012370178,98.0185592522207,1.5,19.1230445095102,73.0007307117353,0,3,183.45315611391,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
30,81.4235119430492,-82.617296784354,1.5,19.121421834577,72.9999911525544,0,3,110.172559329247,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
31,-591.094103967814,-68.7354549829997,1.5,19.1215464535954,72.9935970341606,1,3,86.7373334575745,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
32,-271.086968707316,-730.602955784216,1.5,19.1156008640417,72.9966396697769,0,3,92.6233403953465,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
33,57.3954525434389,106.151085042848,1.5,19.1231175706169,72.9997627059157,0,3,280.520778909249,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
34,745.881916031916,-120.106109667393,1.5,19.1210849326264,73.0063086274651,0,3,117.004001794163,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
35,466.620144084419,-340.195223098071,1.5,19.1191079211565,73.003653435008,0,3,271.998983028439,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
36,-236.990831433508,-403.657041708159,1.5,19.1185378733868,72.9969637951008,0,3,293.805143024187,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
37,795.201174491811,-150.269334411214,1.5,19.1208139532123,73.0067775281769,0,3,179.166179388691,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
38,706.71945705032,-195.198153928222,1.5,19.1204103832069,73.0059362548142,0,3,161.543213214629,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
39,326.678090262572,-724.268564718106,1.5,19.1156577587324,73.0023228579063,0,3,109.423465104129,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
40,-547.482265891389,186.417861219999,1.5,19.1238385469528,72.9940116117402,0,3,252.208666260704,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
41,716.543106023669,-217.747159329778,1.5,19.1202078186319,73.0060296464688,0,3,130.849193836078,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
42,529.53198602364,-571.185857369612,1.5,19.1170328816867,73.004251512069,0,3,165.882550983499,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
43,14.4174945135671,-94.3692733809684,1.5,19.121316266343,72.9993540775199,0,3,52.3013432697908,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
44,-268.115621750701,-321.597529303835,1.5,19.1192750226903,72.9966678628739,1,3,260.392569077739,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
45,-556.270302060544,-227.091969117944,1.5,19.1201239225835,72.9939281751505,1,3,82.6880201886791,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
46,47.5809519446201,-194.159730004392,1.5,19.120419832917,72.999669383977,0,3,41.5897615283167,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
47,100.084763601471,-22.5304082153389,1.5,19.1219616034537,73.000168581756,0,3,127.902119019982,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
48,320.235243410924,-460.884039884154,1.5,19.1180237831911,73.0022616467935,1,3,231.451494422992,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
49,754.765102830291,81.8011974376422,1.5,19.1228986935654,73.0063931649733,0,3,168.891889997831,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
50,732.107919909712,-24.2495628613535,1.5,19.1219460316051,73.0061777046015,0,3,175.139879835709,projected_default_anchor,"Reliance Corporate Park, Ghansoli, Navi Mumbai"
