ExperimentID,FamilyID,PairID,Variant,Trials,Errors,Incomplete,StopReason,BLER,CILower,CIUpper,MeanLatency_ms,MeanGoodputMbps,MeanFairness,MeanRuntime_ms,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F04-P03-B,F04,F04-P03,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.8132,0.46327,1,1.8132,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P03-T,F04,F04-P03,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.8615,0.44695,1,1.8615,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P04-B,F04,F04-P04,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.5348,0.5473,1,1.5348,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P04-T,F04,F04-P04,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.7815,0.46702,1,1.7815,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P05-B,F04,F04-P05,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.829,0.45927,1,1.829,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P05-T,F04,F04-P05,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,2.179,0.38183,1,2.179,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P06-B,F04,F04-P06,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,2.3261,0.36112,1,2.3261,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04-P06-T,F04,F04-P06,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,2.3409,0.35542,1,2.3409,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P01-B,F05,F05-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,33.4985,0,1,33.4985,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P01-T,F05,F05-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,19.1023,0,1,19.1023,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P02-B,F05,F05-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5.6704,0,1,5.6704,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P02-T,F05,F05-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5.578,0,1,5.578,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P03-B,F05,F05-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,20.274,0,1,20.274,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P03-T,F05,F05-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.9,0,1,3.1628,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P04-B,F05,F05-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.0906,0,1,2.0906,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P04-T,F05,F05-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.9,0,1,1.8364,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P05-B,F05,F05-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.9791,0,1,1.9791,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P05-T,F05,F05-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.9,0,1,1.901,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P06-B,F05,F05-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.8796,0,1,1.8796,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F05-P06-T,F05,F05-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,3.9,0,1,1.8094,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P01-B,F06,F06-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.4904,0.33087,1,2.4904,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P01-T,F06,F06-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6635,0.50015,1,1.6635,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P02-B,F06,F06-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.5766,0.52264,1,1.5766,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P02-T,F06,F06-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2843,0.36423,1,2.2843,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P03-B,F06,F06-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.7228,0.47829,1,1.7228,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P03-T,F06,F06-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6033,0.51893,1,1.6033,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P04-B,F06,F06-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6596,0.49651,1,1.6596,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P04-T,F06,F06-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.4345,0.34175,1,2.4345,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P05-B,F06,F06-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.2145,0.37209,1,2.2145,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P05-T,F06,F06-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6487,0.50464,1,1.6487,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P06-B,F06,F06-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.7191,0.47932,1,1.7191,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F06-P06-T,F06,F06-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6101,0.51674,1,1.6101,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P01-B,F07,F07-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,76.5143,0.012651,1,76.5143,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P01-T,F07,F07-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,24.666,0.042163,1,24.666,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P02-B,F07,F07-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,8.3351,0.11614,1,8.3351,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P02-T,F07,F07-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5.7917,0.17957,1,5.7917,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P03-B,F07,F07-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,22.5899,0.042851,1,22.5899,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P03-T,F07,F07-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.208,1,2.3637,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P04-B,F07,F07-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1936,1,1.8931,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P04-T,F07,F07-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.208,1,2.0182,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P05-B,F07,F07-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1936,1,2.1464,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P05-T,F07,F07-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.208,1,2.8601,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P06-B,F07,F07-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1936,1,2.7836,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F07-P06-T,F07,F07-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.208,1,3.0812,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P01-B,F08,F08-P01,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,3.2243,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P01-T,F08,F08-P01,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,2.0558,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P02-B,F08,F08-P02,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,2.5768,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P02-T,F08,F08-P02,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,2.0413,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P03-B,F08,F08-P03,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,1.9196,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P03-T,F08,F08-P03,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,1.9517,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P04-B,F08,F08-P04,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,2.1417,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P04-T,F08,F08-P04,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,2.1514,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P05-B,F08,F08-P05,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,2.2638,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P05-T,F08,F08-P05,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,2.0629,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P06-B,F08,F08-P06,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.1888,1,2.1843,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F08-P06-T,F08,F08-P06,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,5,0.208,1,2.1801,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P01-B,F09,F09-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,14.504,0.068395,1,14.504,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P01-T,F09,F09-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,1.9806,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P02-B,F09,F09-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1984,1,2.3186,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P02-T,F09,F09-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,3.3361,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P03-B,F09,F09-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1984,1,3.719,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P03-T,F09,F09-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,3.4179,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P04-B,F09,F09-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,13.9166,0.071282,1,13.9166,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P04-T,F09,F09-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,3.7182,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P05-B,F09,F09-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1984,1,2.4395,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P05-T,F09,F09-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,3.3549,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P06-B,F09,F09-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.1984,1,2.8864,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F09-P06-T,F09,F09-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,5,0.16,1,2.3726,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P01-B,F10,F10-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.7239,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P01-T,F10,F10-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.6487,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P02-B,F10,F10-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.4372,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P02-T,F10,F10-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.5577,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P03-B,F10,F10-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.6052,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P03-T,F10,F10-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.6768,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P04-B,F10,F10-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.349,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P04-T,F10,F10-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.3063,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P05-B,F10,F10-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.393,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P05-T,F10,F10-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.4495,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P06-B,F10,F10-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,3.8,0.26947,1,1.7142,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F10-P06-T,F10,F10-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.3,0.39304,1,1.6401,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P01-B,F11,F11-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,47.8939,0.016704,1,47.8939,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P01-T,F11,F11-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,15.9503,0.050156,1,15.9503,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P02-B,F11,F11-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,7.371,0.10853,1,7.371,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P02-T,F11,F11-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,6.2067,0.12889,1,6.2067,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P03-B,F11,F11-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,17.8007,0.044942,1,17.8007,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P03-T,F11,F11-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.9896,0.40209,1,1.9896,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P04-B,F11,F11-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.8629,0.42944,1,1.8629,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P04-T,F11,F11-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6883,0.47385,1,1.6883,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P05-B,F11,F11-P05,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.4002,0.33331,1,2.4002,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P05-T,F11,F11-P05,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.6328,0.48996,1,1.6328,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P06-B,F11,F11-P06,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,1.5806,0.50614,1,1.5806,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F11-P06-T,F11,F11-P06,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,1.5191,0.52663,1,1.5191,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P01-B,F12,F12-P01,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.5888,0.50352,1,1.5888,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P01-T,F12,F12-P01,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.7541,0.45607,1,1.7541,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P02-B,F12,F12-P02,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.5676,0.51033,1,1.5676,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P02-T,F12,F12-P02,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.4923,0.53609,1,1.4923,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P03-B,F12,F12-P03,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.4526,0.55074,1,1.4526,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P03-T,F12,F12-P03,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.7426,0.45908,1,1.7426,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P04-B,F12,F12-P04,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.6005,0.49984,1,1.6005,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P04-T,F12,F12-P04,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.5268,0.52397,1,1.5268,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P05-B,F12,F12-P05,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.4527,0.5507,1,1.4527,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P05-T,F12,F12-P05,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.4464,0.5531,1,1.4464,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P06-B,F12,F12-P06,baseline,10000,0,false,exact_vector_complete,0,0,0.00027048,1.8002,0.4444,1,1.8002,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F12-P06-T,F12,F12-P06,treatment,10000,0,false,exact_vector_complete,0,0,0.00027048,1.555,0.51447,1,1.555,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P01-B,F13,F13-P01,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.5,0.368,1,1.2476,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P01-T,F13,F13-P01,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.1881,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P02-B,F13,F13-P02,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.5,0.368,1,1.2385,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P02-T,F13,F13-P02,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.3344,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P03-B,F13,F13-P03,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.5,0.368,1,1.112,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P03-T,F13,F13-P03,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.0886,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P04-B,F13,F13-P04,baseline,2000,0,false,exact_vector_complete,0,0,0.0013509,2.5,0.368,1,1.1552,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F13-P04-T,F13,F13-P04,treatment,2000,0,false,exact_vector_complete,0,0,0.0013509,2.8,0.33714,1,1.6851,PASS,analytical_component_evaluation,component_proxy,study_not_truth
