RunID,ExperimentID,FamilyID,PairID,Variant,WorkItem,Title,SourceCSV,SourceRowKey,SourceCSV_SHA256,Metric,Aggregation,ObservedValue,SourceRows,SourceRowsPass,TypedError,ExecutionBackend,ApproximationMode,TruthQualified,Status
frame_grid_impact_20260726T132620Z,FG-F09-E01,F09,FG-F09,baseline,9,Exact PRACH occasions,prach_occasion_matrix.csv,PRACH-FR1-TDD-SHORT-0000,43a2c3b02eb6e5bc8f5e5086d35b154761d5ef47ee1d30bfbe2b1582e2a5239b,AbsoluteSlot,value_quantile,0,1,true,not_applicable_or_ul_available,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F09-E02,F09,FG-F09,treatment,9,Exact PRACH occasions,prach_occasion_matrix.csv,PRACH-FR1-FDD-SHORT-0006,43a2c3b02eb6e5bc8f5e5086d35b154761d5ef47ee1d30bfbe2b1582e2a5239b,AbsoluteSlot,value_quantile,9,1,true,not_applicable_or_ul_available,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F09-E03,F09,FG-F09,stress,9,Exact PRACH occasions,prach_occasion_matrix.csv,PRACH-FR1-TDD-SHORT-0019,43a2c3b02eb6e5bc8f5e5086d35b154761d5ef47ee1d30bfbe2b1582e2a5239b,AbsoluteSlot,value_quantile,19,1,true,not_applicable_or_ul_available,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F10-E01,F10,FG-F10,baseline,10,Zero implicit OFDM windowing,ofdm_roundtrip.csv,GRID-FR1-060-0010,55fe64ad90def601ad1c29ef3140386681842de8c3e6c83005607ddb95567318,EVMPercent,value_quantile,1.7497e-14,1,true,,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F10-E02,F10,FG-F10,treatment,10,Zero implicit OFDM windowing,ofdm_roundtrip.csv,GRID-FR1-030-0070,55fe64ad90def601ad1c29ef3140386681842de8c3e6c83005607ddb95567318,EVMPercent,value_quantile,2.22e-14,1,true,,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F10-E03,F10,FG-F10,stress,10,Zero implicit OFDM windowing,ofdm_roundtrip.csv,GRID-FR1-015-0045,55fe64ad90def601ad1c29ef3140386681842de8c3e6c83005607ddb95567318,EVMPercent,value_quantile,2.7941e-14,1,true,,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F11-E01,F11,FG-F11,baseline,11,Canonical multi-BWP operation,bwp_switch_trace.csv,BWP-HISTORY-001,96a00d10525e8772c3c8d43852c2774f8825dafb576ff04c21f830530010870a,AbsSlot,value_quantile,0,1,true,initial_active_bwp,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F11-E02,F11,FG-F11,treatment,11,Canonical multi-BWP operation,bwp_switch_trace.csv,BWP-GRANT-02,96a00d10525e8772c3c8d43852c2774f8825dafb576ff04c21f830530010870a,AbsSlot,value_quantile,2,1,true,inactive_bwp,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F11-E03,F11,FG-F11,stress,11,Canonical multi-BWP operation,bwp_switch_trace.csv,BWP-UL-SNAPSHOT,96a00d10525e8772c3c8d43852c2774f8825dafb576ff04c21f830530010870a,AbsSlot,value_quantile,5,1,true,ul_bwp_unchanged_by_dl_switch,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F12-E01,F12,FG-F12,baseline,12,Component carrier and absolute timing,component_carrier_trace.csv,CC1-UL-RESOURCE,1cc1b07d2021378a96bc738af69ab4f5c3e7248baf23e9aa39a878e9d984ebf8,NumRB,value_quantile,24,1,true,timing_relation_valid,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F12-E02,F12,FG-F12,treatment,12,Component carrier and absolute timing,component_carrier_trace.csv,CC-WRONG-INDICATOR,1cc1b07d2021378a96bc738af69ab4f5c3e7248baf23e9aa39a878e9d984ebf8,NumRB,value_quantile,24,1,true,carrier_indicator_target_mismatch,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
frame_grid_impact_20260726T132620Z,FG-F12-E03,F12,FG-F12,stress,12,Component carrier and absolute timing,component_carrier_trace.csv,CC0-DL-RESOURCE,1cc1b07d2021378a96bc738af69ab4f5c3e7248baf23e9aa39a878e9d984ebf8,NumRB,value_quantile,64,1,true,timing_relation_valid,verified_production_frame_grid_artifacts,comparative_component_campaign_not_waveform_truth,false,PASS
